DISTRICT,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,JF,MAM,JJAS,OND
AMBALA,1901,96.7,130.5,42.7,0,21.2,28.8,241.9,277.3,49.5,16.1,0,10.8,915.6,227.2,63.9,597.6,26.9
AMBALA,1902,0.2,1.8,9.2,20.9,23.8,89.2,328.6,65.9,125.5,29.7,0,0,694.7,2,53.8,609.2,29.7
AMBALA,1903,59.5,0.2,12.2,0.8,13.5,29.8,233.5,272.4,205.3,7.6,0,20.8,855.6,59.6,26.5,741.1,28.4
AMBALA,1904,27.5,5.5,72.5,8.4,30.6,38.2,194.8,103.7,56.5,0.8,19.6,34,592,33,111.4,393.2,54.5
AMBALA,1905,64.4,79.2,36.2,1.5,4.4,45.4,170.9,132.7,150.3,0,0,10.2,695.2,143.6,42.1,499.3,10.2
AMBALA,1906,23.3,136.4,51.6,0.4,0.2,143.7,254.3,373.9,206.6,0,0,2.6,1193,159.7,52.2,978.5,2.6
AMBALA,1907,17.9,98.8,65.8,48.6,4,7.4,144.7,268.2,3.6,2.2,0,0,661.2,116.7,118.4,423.9,2.2
AMBALA,1908,45.9,30.3,1.4,22.4,22.2,8.3,171.7,402.6,14.3,0,5.8,6.9,731.9,76.2,46.1,596.9,12.8
AMBALA,1909,17.3,12.1,1.3,37.2,4.9,128.3,348.7,239,110.1,1.9,0,43.6,944.3,29.4,43.4,826.1,45.5
AMBALA,1910,35,25.8,0.3,3.2,12.5,163.3,206.5,272.2,289.2,65.3,0,20.9,1094.1,60.8,16,931.2,86.1
AMBALA,1911,153.8,8,78.7,5,0,99.2,50.4,116.4,107.7,3.1,46.9,0,669.3,161.8,83.7,373.7,50
AMBALA,1912,53.5,3.4,10.7,8.8,5.3,27.4,256.3,285.4,196.2,0,9.6,3.5,860.2,56.9,24.9,765.3,13.1
AMBALA,1913,1.2,92.4,57.2,1.2,125,243.7,219.9,223.8,0.8,2,4.6,19.6,991.4,93.6,183.4,688.2,26.2
AMBALA,1914,4.3,13.2,15.6,29.1,53.5,114.1,325.4,151.7,342.9,34.7,4,0,1088.6,17.5,98.2,934.1,38.7
AMBALA,1915,48.6,48.2,28.6,15.8,25.4,61.8,130.8,157.1,241.1,7.1,0,8.3,772.6,96.8,69.7,590.7,15.4
AMBALA,1916,2.3,20.6,1.6,10.5,15.6,182,301.4,348.4,115.2,186.8,0,0,1184.4,22.9,27.6,947.1,186.8
AMBALA,1917,6.1,7.8,8,60.6,58.2,156.3,249.8,281.3,364.5,186.2,0,19.3,1398,13.9,126.7,1051.9,205.5
AMBALA,1918,7.2,0,23.2,38,7.3,83.5,36.4,208.5,5.2,0,15.4,0.7,425.2,7.2,68.4,333.5,16
AMBALA,1919,95.1,21.3,13.5,2.5,3.2,17.8,347.5,186,37.3,0,5,33.4,762.7,116.4,19.2,588.6,38.4
AMBALA,1920,16.1,15.5,40.9,0.1,40.4,168.7,166.4,95.4,48,0.2,0,0.7,592.2,31.5,81.3,478.5,0.8
AMBALA,1921,75.7,8,4.2,11.2,0,20.8,157.5,296,89.8,57.5,0,1.8,722.5,83.7,15.4,564.1,59.3
AMBALA,1922,35.9,22.4,3.7,1.8,0,119.4,379.8,103.1,136.2,1.1,0,25.2,828.5,58.3,5.5,738.4,26.3
AMBALA,1923,45.7,123,3.8,2.6,38.2,3.5,244.8,269.5,75.4,45.4,1.4,47.9,901.1,168.7,44.6,593.1,94.7
AMBALA,1924,75.2,32.9,5.7,0.4,23.2,11,304.2,126.6,487.2,4.7,0,48.1,1119.2,108.1,29.3,929,52.9
AMBALA,1925,17.7,1.8,0.3,11.2,34.5,173.8,357.6,213.6,26.1,10.3,9.9,0,856.8,19.5,46,771.1,20.2
AMBALA,1926,16.3,16.5,81.1,26.4,30.5,7.2,375,217,93.6,0.3,24,1.5,889.6,32.8,138.1,692.8,25.9
AMBALA,1927,0.3,93.4,36.9,5.9,23.8,14.9,232.6,277.4,28.4,106.6,6,28.9,855.3,93.6,66.7,553.4,141.5
AMBALA,1928,65.1,45.3,7,9,5.9,35.7,243.5,110.6,100,0.8,35.6,37,695.5,110.4,21.9,489.8,73.4
AMBALA,1929,45,0,0,10.6,2,58.3,165.1,224.8,12.2,38.2,0,80.4,636.4,45,12.5,460.3,118.6
AMBALA,1930,39.9,30.6,21.4,5.3,4.4,125.6,531.3,211.1,43.2,11.8,0,20,1044.7,70.5,31.1,911.2,31.8
AMBALA,1931,2.9,51.2,15.9,0.3,22,17,243.1,328.4,222.6,14.5,0,0,918,54.2,38.2,811.2,14.5
AMBALA,1932,18.8,28,39.7,16.5,39.7,22.6,268.1,234.1,493.7,0,0,53.9,1215.2,46.8,95.9,1018.5,53.9
AMBALA,1933,3.8,80.4,32.6,11.5,28.7,83.7,402,417.9,390.2,35.7,2.6,3.2,1492.3,84.2,72.8,1293.8,41.5
AMBALA,1934,36.7,3,50.1,1.2,4.1,62.4,373.4,250.2,75.6,0,0,6.1,862.7,39.6,55.4,761.6,6.1
AMBALA,1935,70.2,47.4,3.2,87,0,7,209,207.9,82.1,2.2,5.4,52.7,774.1,117.6,90.3,506,60.3
AMBALA,1936,0.8,46.7,6.3,0,10.2,273.1,266.3,281.1,136.7,0,0,49.7,1070.9,47.4,16.5,957.2,49.7
AMBALA,1937,3.4,155.5,15.9,47.5,20.4,131.5,151.6,70.2,258.3,2.7,0.1,26.2,883.4,158.9,83.9,611.6,29
AMBALA,1938,93.1,26.2,2.8,1.9,2.5,118.6,305.6,144.2,16.3,20,0.7,0,731.8,119.3,7.1,584.7,20.7
AMBALA,1939,4.9,79.1,51.9,7.1,0,145.1,236.4,132.8,41.6,9.9,0,0,708.8,83.9,59,555.9,9.9
AMBALA,1940,40.8,72.9,12.5,18.4,9.8,95.9,325.1,100.2,62.5,0,0,1.9,740,113.7,40.6,583.7,1.9
AMBALA,1941,64,16.7,4.5,0,18,134.2,118.7,291,14.2,22.2,0,3,686.4,80.6,22.5,558,25.2
AMBALA,1942,83.2,168.3,6.7,13.4,52.8,143.6,588.4,466.7,220.2,3.3,0,30,1776.5,251.4,72.8,1418.9,33.3
AMBALA,1943,41.4,2.2,14.6,2.7,12.7,22.6,248.2,315.5,84.1,0,0,3.3,747.4,43.6,30.1,670.5,3.3
AMBALA,1944,33.1,104.8,28.5,22.5,6.1,104.7,230.8,87.8,83.4,31.7,0,3.1,736.4,137.9,57.1,506.7,34.7
AMBALA,1945,100.3,0,10.4,12.4,5.8,50.8,293.5,181.1,423,9.8,0,0,1087.3,100.3,28.7,948.4,9.8
AMBALA,1946,1.3,54.1,4.3,5.7,18,170.6,311,220.4,24.6,21.8,8.4,18.7,859,55.4,28,726.8,48.8
AMBALA,1947,37.6,29.8,29.4,0.3,6.8,39.5,,165.6,510.5,0,0,10.9,,67.4,36.6,,10.9
AMBALA,1948,13.1,74.3,29.2,6.4,3.8,13.3,199.5,375,83.3,8.6,0,0.2,806.5,87.4,39.4,671,8.7
AMBALA,1949,14.9,144.5,2.7,0.9,20,6.9,342.3,169.4,77,4.3,0,4.1,786.9,159.4,23.5,595.6,8.4
AMBALA,1950,97.2,30.4,36.3,1.9,14,35.6,269.3,416.4,231.4,0,0,6.1,1138.6,127.5,52.2,952.7,6.1
AMBALA,1951,20,4.8,55.3,5,18.8,12,105,268.9,53.2,0.7,116.5,0,660.1,24.7,79.2,439.1,117.1
AMBALA,1952,31.8,49,47.8,0,13.6,95.4,165.9,375.1,0,0,0,10.7,789.5,80.9,61.5,636.4,10.7
AMBALA,1953,115.9,0.8,0.9,3,11.9,152.9,362.8,286,69.3,0,0,15.8,1019.1,116.7,15.8,870.9,15.8
AMBALA,1954,44.5,104.1,7.4,0,4.7,79.5,257,98.6,217.5,11.7,0,0,824.9,148.6,12.1,652.5,11.7
AMBALA,1955,98.3,2.2,29.2,14.1,29.2,27.7,187.4,339.9,256.9,302.6,0,0,1287.4,100.5,72.5,811.8,302.6
AMBALA,1956,27.4,6.4,104.9,0,11,76.1,347.2,263.8,22.2,210.1,1.2,4.1,1074.3,33.8,115.9,709.3,215.3
AMBALA,1957,87.4,0.6,14.9,14.3,17,45.8,265.8,149.4,305.6,15.2,21.6,46.5,984,88,46.2,766.7,83.2
AMBALA,1958,11.4,0,23,4.6,11.9,21.3,245.3,257,349.1,58.8,0,30.3,1012.7,11.4,39.5,872.8,89.1
AMBALA,1959,42.4,26,17.8,0,20.6,75.9,236,437.5,318,20.5,20.8,0,1215.8,68.4,38.5,1067.5,41.4
AMBALA,1960,14.3,0,7.7,3.1,0.2,129.2,366.4,410.2,35.8,1,0,22.3,990.3,14.3,11,941.7,23.3
AMBALA,1961,120.4,133.6,0.4,11.3,4.1,40,357.1,257.2,149.4,45.3,3.6,30.3,1152.6,254,15.8,803.7,79.1
AMBALA,1962,56.2,22,40.8,0.9,1,66.3,209.6,139.5,650.6,0,10.2,17.3,1214.4,78.1,42.7,1066.1,27.5
AMBALA,1963,4.6,7.6,60,0.3,0.6,105.3,264.2,380.1,117.4,0,7.7,41.3,989,12.2,60.8,867.1,49
AMBALA,1964,13.1,3.2,9.7,3.5,63.1,3.5,564.7,402.4,280.5,0,0,3.9,1347.5,16.2,76.3,1251.1,3.9
AMBALA,1965,24.3,37.3,39,15.5,42.8,0,333.1,58.8,39.8,1.5,0.2,0.3,592.6,61.6,97.3,431.7,1.9
AMBALA,1966,2.9,62.8,30.8,0,32.9,71.3,230.3,393.5,44.3,13.5,0,0.8,882.9,65.7,63.7,739.3,14.3
AMBALA,1967,0,7.5,68.4,0.6,0,12.2,176.7,436.7,162.1,11.6,5.8,59.3,941,7.5,68.9,787.8,76.8
AMBALA,1968,63.6,28.3,25.2,0,0,123.8,480.7,225.2,0,7.6,0,21.8,976,91.8,25.2,829.7,29.3
AMBALA,1969,3.8,18.4,29.1,12.4,9.1,13.6,336.7,247.5,262,0,0,0,932.7,22.3,50.7,859.8,0
AMBALA,1970,99.9,11.2,15.8,0,22.5,157.6,95.3,304.3,300.7,1.4,0,0,1008.7,111.1,38.3,857.9,1.4
AMBALA,1971,29.9,46.8,2.2,41,75.7,169.1,356.1,374.6,79.5,5.3,4.2,0.1,1184.5,76.7,118.8,979.4,9.7
AMBALA,1972,6.9,36.4,17.8,11.6,0,150.9,289.5,352.8,6.3,16.4,25.6,7.5,921.7,43.3,29.4,799.5,49.5
AMBALA,1973,19.3,25.8,13.9,0.1,16.7,418.9,312.8,282.8,34.5,164.2,0,17.1,1306.2,45,30.7,1049.1,181.3
