DISTRICT,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,JF,MAM,JJAS,OND
BHIWANI,1901,14.5,12.4,0,0,0,11.2,79.7,83.5,0,0,0,5.6,206.9,26.9,0,174.4,5.6
BHIWANI,1902,0,0,7.3,12.4,7.1,71.1,123.7,18.6,54.7,3.6,0,0,298.5,0,26.8,268.1,3.6
BHIWANI,1903,14.7,0,0.8,0,25.4,6.6,94.2,102.1,182.9,0,0,0,426.7,14.7,26.2,385.8,0
BHIWANI,1904,1.5,0,13.5,0,32.8,58.7,93.2,196.1,131.9,0,8.1,39.4,575.2,1.5,46.3,479.9,47.5
BHIWANI,1905,30.2,9.9,11.2,0,14,9.2,79.3,0,57.9,0,0,1.5,213.2,40.1,25.2,146.4,1.5
BHIWANI,1906,0,54.1,40.2,0,4.5,61.2,108.5,43.5,130.5,0,0,2.5,445,54.1,44.7,343.7,2.5
BHIWANI,1907,11.4,25.1,36,40.4,4.8,39.6,120.1,134.7,0,0,0,0,412.1,36.5,81.2,294.4,0
BHIWANI,1908,33,0,0,6.4,24.1,19.8,127.3,399.1,9.1,0,0,0,618.8,33,30.5,555.3,0
BHIWANI,1909,0,19,0,35.5,,120.8,249.8,51.9,209.2,3.3,0,31.2,,19,,631.7,34.5
BHIWANI,1910,19.3,0,0,3,8.1,90.6,52.9,118.4,198.2,15,0,0,505.5,19.3,11.1,460.1,15
BHIWANI,1911,20.6,0,69.1,2.8,0,68.1,23.1,42.5,254.9,0,72.9,0,554,20.6,71.9,388.6,72.9
BHIWANI,1912,49.3,4.6,0.5,12,0,49.1,97.7,127.7,42.7,0,21.3,0,404.9,53.9,12.5,317.2,21.3
BHIWANI,1913,0.5,29.7,7.3,0,33.4,44.2,261.8,18.5,72.9,2.3,0,6.9,477.5,30.2,40.7,397.4,9.2
BHIWANI,1914,0,5,2.5,3.3,20.1,62.2,140.1,35.5,97.3,26.5,0,0,392.5,5,25.9,335.1,26.5
BHIWANI,1915,23,38.8,26.2,0.8,0.5,50.6,32,56.1,27,0.5,0,0,255.5,61.8,27.5,165.7,0.5
BHIWANI,1916,0,15.3,0,0,23.1,103.7,51.6,277.8,49.8,33,0,0,554.3,15.3,23.1,482.9,33
BHIWANI,1917,0,13.7,0.8,14,31,50.5,91.3,253,352.4,58.4,0,7.6,872.7,13.7,45.8,747.2,66
BHIWANI,1918,8.9,0,4.3,6.4,0,3.8,0,161.3,0,0,0,0,184.7,8.9,10.7,165.1,0
