DISTRICT,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,JF,MAM,JJAS,OND
FARIDABAD,1901,58.5,27.9,3,0,0.5,4.8,172,210.6,4.8,0,0,0,482.1,86.4,3.5,392.2,0
FARIDABAD,1902,0,0,2.8,21.8,16.8,59.9,210.2,195.9,112.9,0,0,0,620.3,0,41.4,578.9,0
FARIDABAD,1903,8.4,0,2.5,0,6.4,4.6,86.2,141.6,13.4,1,0,0,264.1,8.4,8.9,245.8,1
FARIDABAD,1904,2.5,1,60.2,0,57.9,14.8,91.6,212.3,,0,23.8,19.8,,3.5,118.1,,43.6
FARIDABAD,1905,73,19.3,17.3,0,0,6.6,77.2,22.1,126.8,0,0,1.3,343.6,92.3,17.3,232.7,1.3
FARIDABAD,1906,0,58.2,40.2,0,5.8,177.2,155.7,66.6,376,0,0,20.3,900,58.2,46,775.5,20.3
FARIDABAD,1907,23.6,57.4,35.3,37.6,5.3,0,56.8,146.5,0,0,0,0,362.5,81,78.2,203.3,0
FARIDABAD,1908,41.4,1,0,0,13.5,20.3,218.2,827.8,5.1,0,0,0,1127.3,42.4,13.5,1071.4,0
FARIDABAD,1909,12.7,0,0,208.7,6.8,153.7,239.8,95,,1.3,0,43.9,,12.7,215.5,,45.2
FARIDABAD,1910,26.7,4.6,0,2.5,0,29.3,134,196.4,124.4,179.8,0,0,697.7,31.3,2.5,484.1,179.8
FARIDABAD,1911,35.4,0,32.5,0,0.2,11,26.7,56.8,386.3,31.8,13.6,0,594.2,35.4,32.7,480.9,45.3
FARIDABAD,1912,21.6,24.7,10.9,0.4,2.5,44.6,214.6,168.4,237.6,0,2,0,727.3,46.3,13.8,665.1,2
FARIDABAD,1913,0,42.4,22.8,0,49.5,188.8,192.9,70.6,0.3,0,2.8,5.4,575.5,42.4,72.3,452.5,8.3
FARIDABAD,1914,0,0.5,7,41.9,20.5,69.4,263.3,126.8,188.4,20.6,4.2,0,742.5,0.5,69.3,647.9,24.8
FARIDABAD,1915,26.2,43.5,72.1,22.3,0.3,35.8,134.4,40.7,100.7,15.1,0,1.9,492.9,69.7,94.7,311.5,17
FARIDABAD,1916,0,27.5,0,2.4,2.3,79.9,177.3,221.5,167.6,81.1,0,0,759.5,27.5,4.7,646.3,81.1
FARIDABAD,1917,8,12.8,10.9,32.6,4.6,62.8,281.8,241.1,401.6,35,0,0,1091.3,20.8,48.1,987.4,35
FARIDABAD,1918,30.5,0,4.3,3.4,0,28.6,29.1,64.7,3.3,0,0,0,163.8,30.5,7.7,125.6,0
FARIDABAD,1919,59.6,0.9,4.4,0.5,2.8,11.4,305.5,216.2,56.7,0,7.1,11.3,676.5,60.5,7.8,589.8,18.4
FARIDABAD,1920,11.4,12.7,10.2,0,13.2,162,199.6,36.7,2.5,2.3,0,0,450.7,24.1,23.4,400.9,2.3
FARIDABAD,1921,38.2,0,0,1.4,0,8,116.1,320.8,140.5,0,0,2.7,627.7,38.2,1.4,585.4,2.7
FARIDABAD,1922,9.5,0.6,0,0,0,79.3,135.5,196,219.3,0,0,37.5,677.7,10.1,0,630.1,37.5
FARIDABAD,1923,0.3,33.8,0,0,18.3,17.2,101.4,233.3,22.7,2.3,0,28.8,458.1,34.1,18.3,374.6,31.1
FARIDABAD,1924,43.4,27.3,0,0,1.1,13.2,89.3,186.5,316.9,49.3,11.9,26,764.9,70.7,1.1,605.8,87.3
FARIDABAD,1925,3.5,0,0,0,17.1,155.3,329,137.6,7.7,0.6,5.8,0,656.5,3.5,17.1,629.5,6.4
FARIDABAD,1926,6.8,6.8,64,13.8,14.1,2.7,303.3,232.9,80.8,0,0,0,725.3,13.6,91.9,619.7,0
FARIDABAD,1927,0,11.8,10.4,6.6,4.2,21,139.9,288.1,62.3,6.3,0,16.4,567,11.8,21.3,511.3,22.7
FARIDABAD,1928,30.1,49,3.8,0,0,23.9,95.5,26.9,4.2,25.2,10.6,43,312.2,79.1,3.8,150.4,78.9
FARIDABAD,1929,11.9,0.4,0,2.8,1.5,38.7,139.8,39.3,7.8,0,0,13.2,255.4,12.3,4.3,225.6,13.2
FARIDABAD,1930,38.8,32.4,0.3,0.8,3.5,22.5,270.5,117.8,43.5,5.5,0.8,3.5,539.8,71.3,4.4,454.4,9.8
FARIDABAD,1931,0,8.4,5.3,0,5.8,3.7,190.8,93.3,179.9,74.4,0,0,561.4,8.4,11.1,467.6,74.4
FARIDABAD,1932,0,0,19,1.3,9.6,12.8,126.4,119.3,112.3,0,0,0,400.7,0,29.9,370.9,0
FARIDABAD,1933,3.7,22.8,0.6,17.9,54.2,277,131,201.8,290.4,60.5,0,0,1059.7,26.5,72.7,900.1,60.5
FARIDABAD,1934,19.7,0,57.1,0,0.3,49.8,199.1,276.5,20.1,0,0,11.2,633.8,19.7,57.3,545.5,11.2
FARIDABAD,1935,9.6,21.6,2,9,0.4,3.5,181.4,75.7,139,1.1,0,33.4,476.7,31.2,11.4,399.5,34.6
FARIDABAD,1936,3.7,8.9,6.3,0,0,167.5,139.4,109.8,116.6,0,6.3,4,562.5,12.6,6.3,533.3,10.3
FARIDABAD,1937,0,13.9,0.6,21.2,0.8,51.3,171.9,70.9,58.3,0,0,8.9,397.8,13.9,22.6,352.4,8.9
FARIDABAD,1938,25.1,0,0,4.2,7.3,39,77.3,34.9,2.5,4.3,0,0,194.6,25.1,11.4,153.7,4.3
FARIDABAD,1939,6.3,42.8,0.6,0,1.1,107.2,37.8,114.2,247,0,0,0,557.2,49.2,1.8,506.3,0
FARIDABAD,1940,30.3,22.9,3.1,4.2,1,15.3,260.3,231,13,0,0,1.6,582.7,53.3,8.3,519.5,1.6
FARIDABAD,1941,55.7,3.7,1.6,0,7.8,59.7,32.5,73.4,48.1,0,0,2.5,285,59.4,9.4,213.7,2.5
FARIDABAD,1942,4.1,34.7,0,4.1,5.3,13.8,398.6,136,132.5,0,0,1.6,730.6,38.8,9.4,680.9,1.6
FARIDABAD,1943,6.6,0,1.5,8.6,1.6,21.9,57.7,124.3,136.4,0,0,0,358.4,6.6,11.7,340.1,0
FARIDABAD,1944,16.5,11.2,19.4,17.8,0,12.1,323.9,94.1,42.7,104.8,0,0,642.5,27.7,37.2,472.8,104.8
FARIDABAD,1945,18.8,0,0,5.2,1.9,24.2,78.9,98.1,171.4,0.6,0,0,399,18.8,7.1,372.5,0.6
FARIDABAD,1946,0,3.5,0,0.9,14.7,103.3,63.5,162.2,21.3,11.2,0,0,380.6,3.5,15.6,350.2,11.2
FARIDABAD,1947,5.2,15.5,5.8,0,2.8,4,,58.8,129.1,3.8,0,0,,20.7,8.6,,3.8
FARIDABAD,1948,30.1,16.1,3.8,1.6,6.3,1.5,286.1,368.9,110.3,6.7,9.6,0,841.2,46.3,11.8,766.8,16.3
FARIDABAD,1949,0,9.6,0,0,1.1,16,440.8,64,235.9,0,0,0,767.4,9.6,1.1,756.6,0
FARIDABAD,1950,16,1,3.8,0,7.3,17.8,274.8,183,105.4,0,0,0,609,17,11.2,580.8,0
FARIDABAD,1951,4.9,0,23.5,18,0.4,56.4,65.8,61,66.2,0,26.3,0,322.5,4.9,41.9,249.4,26.3
FARIDABAD,1952,5.3,2.8,10.4,7.9,10.2,25.9,161.1,181.5,0,0,0,8.9,414,8.1,28.5,368.5,8.9
FARIDABAD,1953,25.4,0,0,3.3,6.4,20.3,284.8,94.4,39.4,0,0,0,474,25.4,9.7,438.9,0
FARIDABAD,1954,18.1,58.7,22.9,0,0,17.8,115,78,59.9,128.1,0,0,498.5,76.8,22.9,270.7,128.1
FARIDABAD,1955,8.9,6.2,0,2.7,6.3,110.9,242.3,246.5,210.2,116.4,0,0,950.4,15.1,9,810,116.4
FARIDABAD,1956,17.9,0,0,0,2.8,34.4,117.1,107.7,10,240.9,0,0,530.8,17.9,2.8,269.1,240.9
FARIDABAD,1957,30.4,0,41.9,0,0,19.7,222.1,130,170.9,13.7,0,32.8,661.5,30.4,41.9,542.7,46.5
FARIDABAD,1958,1.4,0,5.3,1.5,0,0,240.9,226.1,245.8,0.8,0,0,721.8,1.4,6.9,712.8,0.8
FARIDABAD,1959,15.1,0,0,0,11.6,6.6,53,191.1,49.2,1.4,8.6,0,336.5,15.1,11.6,299.9,10
FARIDABAD,1960,12.3,0,11.7,0,0,2,285.4,289,12.4,80.4,0,0,693.3,12.3,11.7,588.8,80.4
FARIDABAD,1961,3.3,11.6,0,0,5.8,64.1,179.3,421.8,44.5,43.8,0,0,774.3,14.9,5.8,709.6,43.8
FARIDABAD,1962,50.8,0,0,2.1,1.4,15.6,316.5,81.8,143.8,0,0,7.8,619.7,50.8,3.4,557.6,7.8
FARIDABAD,1963,8.9,9.8,0,0,0,66.3,33.3,322.2,194.3,0,0.3,8.7,643.8,18.7,0,616.2,9
FARIDABAD,1964,1.4,0,0,0,6,1,305.6,275.4,177.3,0,0,7.3,774,1.4,6,759.3,7.3
FARIDABAD,1965,6,2.9,0,0.3,4.5,0,76.7,138.1,103.2,0,0,0,331.6,8.9,4.8,317.9,0
FARIDABAD,1966,,,,,,,,,,,,,,,,,
FARIDABAD,1967,,,,,,,,,,,,,,,,,
