DISTRICT,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,JF,MAM,JJAS,OND
FATEHABAD,1901,20.3,4.4,3.8,0,1.9,2.3,40.7,111.3,3.8,0,0,4.7,193.2,24.8,5.7,158.1,4.7
FATEHABAD,1902,0,0,3.2,6.8,7.1,61.1,82.8,118.8,30.3,4.4,0,0,314.5,0,17,293,4.4
FATEHABAD,1903,8.4,0,1.6,3.7,4.2,12.6,131.3,85.5,107.9,0,0,0,355.3,8.4,9.5,337.4,0
FATEHABAD,1904,6.4,0,60,0.4,21.3,34.3,66,95.4,94.8,6.5,8,2.4,395.4,6.4,81.7,290.5,16.9
FATEHABAD,1905,39.5,37.1,14.7,0,2.8,15.9,92.3,4.3,91.4,0,0,8.8,306.8,76.6,17.5,203.9,8.8
FATEHABAD,1906,3.5,49.8,17,0,0,32.3,85.7,44.3,74.3,0,0,2.3,309.1,53.3,17,236.6,2.3
FATEHABAD,1907,5.8,10.1,5.9,27.5,3,44.4,134.8,166.6,0,0,0,0,398.1,15.9,36.4,345.8,0
FATEHABAD,1908,28.5,1,0,3.5,45.4,24.8,163.1,293.8,15,0,0,0,575.1,29.5,49,496.6,0
FATEHABAD,1909,0.3,18,0,40.7,1.3,93.9,165.9,129.1,189.1,,0,23.6,,18.3,42,578.1,
FATEHABAD,1910,15,2.5,0.8,2.8,0,21,92.3,87.8,91.5,75.3,0,0.3,389.3,17.5,3.6,292.6,75.6
FATEHABAD,1911,81.9,1.3,37.8,1.8,1.4,71.2,8.5,57,44.8,13.2,15.3,0,334.1,83.2,41,181.4,28.5
FATEHABAD,1912,32.4,12.7,8.4,20.5,4.2,2.3,141.4,80.8,17.8,0,13.9,0,334.2,45.1,33,242.2,13.9
FATEHABAD,1913,2.7,32.8,20,0.2,75.6,97.6,83.6,44.8,14.4,0,0,10,381.5,35.4,95.7,240.4,10
FATEHABAD,1914,2.9,0.8,8.3,17,16.5,34.1,153.9,97.5,109.3,15.8,0,0,456,3.7,41.8,394.9,15.8
FATEHABAD,1915,5.8,40.9,22.3,0,8.9,49.5,14.6,27,41.3,1.8,0,0,211.9,46.7,31.1,132.3,1.8
FATEHABAD,1916,0,5.9,0,2.4,4.3,18.3,64.3,184.3,74.3,16.1,0,0,369.9,5.9,6.7,341.1,16.1
