DISTRICT,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,JF,MAM,JJAS,OND
GURGAON,1901,39.9,11,4.2,0,2.6,30.3,104.9,209.9,3.8,0,0,1.4,408.1,50.9,6.9,348.9,1.4
GURGAON,1902,0,0,0.5,3.3,12,59.9,301.1,141.3,79.5,3.6,0,0,601.2,0,15.8,581.8,3.6
GURGAON,1903,20.9,0,1.1,0,6.4,16.5,153.4,121.3,45.8,9.4,0,0,374.7,20.9,7.5,337,9.4
GURGAON,1904,0.9,0.8,27.9,0,40,19.1,116,180.3,115.6,0,30.5,17.8,548.9,1.7,67.9,431,48.3
GURGAON,1905,26.7,9.4,6.2,4.7,5.2,19,116.8,20.1,57.6,0,0,0.2,265.8,36.1,16.1,213.5,0.2
GURGAON,1906,1.9,45.6,38.4,0.9,1.6,58.1,162.9,61.7,220.8,0,0,11.9,603.8,47.5,40.9,503.5,11.9
GURGAON,1907,18.6,42.9,13.4,23,10.7,18.2,93.7,189.4,0,0,0,0,409.9,61.6,47,301.3,0
GURGAON,1908,32.9,6.7,2.1,0.5,14,12.1,224.1,498.1,13.6,0,2.5,0,806.7,39.6,16.7,747.9,2.5
GURGAON,1909,6.8,1.5,0,80.9,10.6,157.4,209.7,85.6,113.3,1.1,0,31.5,698.4,8.4,91.5,565.9,32.6
GURGAON,1910,14.3,12.1,0.2,1.7,3.7,70.1,97.6,175,147,204.7,0,0,726.4,26.4,5.6,489.7,204.7
GURGAON,1911,62.3,0,34.9,0,0,52.2,50.1,52.2,388.2,10.3,28.4,0,678.6,62.3,34.9,542.7,38.7
GURGAON,1912,46.2,30.2,10.4,11.3,0,19,238,123,293.1,0,3,0,774.1,76.3,21.7,673.1,3
GURGAON,1913,0.9,70.2,8.3,4.2,89.8,110.9,138.1,55.1,4,0,1.1,5.8,488.5,71.1,102.4,308.1,6.9
GURGAON,1914,0,4.4,6.1,5.8,28.6,34.9,262.3,106,184.3,26.2,3.6,0,662.3,4.4,40.6,587.5,29.8
GURGAON,1915,21.5,67.2,70.6,13,7.5,47.9,53.8,78.9,37.8,10.3,0,0.4,408.8,88.7,91.1,218.3,10.7
GURGAON,1916,0,21.8,0,1.2,1.1,39.9,143.5,214.4,188,10,0,0,619.9,21.8,2.3,585.8,10
GURGAON,1917,9.1,2,2.1,19.8,14.3,52.7,308.2,210,302.5,53.1,0,1.7,975.7,11.2,36.3,873.4,54.8
