STATE,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,JF,MAM,JJAS,OND
HARYANA,1901,35.1,28.4,10.8,0,5.1,13.2,127.6,153.2,10.1,2,0,6.2,391.7,63.6,15.9,304,8.1
HARYANA,1902,0,0.7,3.1,10.3,15.7,74.7,155.4,99.8,60.5,9.7,0,0,429.9,0.7,29.2,390.4,9.7
HARYANA,1903,14.7,0.5,2.2,0.5,8.5,8.6,151.4,142,97.4,3.8,0,2.3,431.8,15.2,11.2,399.4,6.1
HARYANA,1904,7.5,0.7,49.3,0.5,28.9,33.9,109.4,162.8,102.2,1.5,10.1,20.3,527,8.2,78.7,408.2,31.9
HARYANA,1905,44.9,21.1,14.2,1.5,7,20.3,95.1,22.4,93.8,0,0,5.2,325.7,66,22.8,231.7,5.2
HARYANA,1906,3.8,64,31.5,0.1,1.4,72.9,127.4,103.5,188,0,0,5,597.6,67.8,32.9,491.8,5
HARYANA,1907,14.7,42.1,25.9,33.4,7.6,19.5,123.9,180.5,1,0.1,0,0,448.9,56.9,67,324.9,0.1
HARYANA,1908,32.3,6,0.1,7.5,22.4,14.7,200,400.2,10.1,0.3,1.1,0.6,695.3,38.3,30,625,2
HARYANA,1909,6.3,13.2,0,77.7,2.9,125.5,229.7,118.5,161.4,3,0,32.5,770.8,19.5,80.6,635.1,35.5
HARYANA,1910,19.6,5,0.1,2,3.2,70.6,109.2,151.3,161.7,89.1,0,0.8,612.5,24.6,5.2,492.8,89.9
HARYANA,1911,67.7,1.3,52.9,0.7,0.1,54.6,26,49.3,204.2,11.3,39.2,0,507.3,69,53.8,334.1,50.5
HARYANA,1912,42.8,12.4,8.9,9.3,2.9,26.1,159.9,137.2,122.1,0,10.2,0.5,532.3,55.2,21.1,445.3,10.8
HARYANA,1913,1.1,42.2,23.1,1.9,69.6,112.5,139.3,80.9,22.4,0.7,0.7,9,503.4,43.3,94.6,355,10.4
HARYANA,1914,2.3,6.9,4.7,23.5,21.1,50.2,252.7,97.6,189.6,19.1,1.7,0.3,669.8,9.2,49.2,590.2,21.2
HARYANA,1915,30.9,49.1,44.1,6.2,8.2,39.5,70.1,68.6,103,6.5,0,1.7,427.9,80,58.6,281.1,8.2
HARYANA,1916,0.5,15.8,0.2,2.3,12.6,69.2,138.4,219.6,112.9,58.8,0,0,630.1,16.3,15,540.1,58.8
HARYANA,1917,6,7.6,3.2,33.7,25,64.5,161.7,214.4,353,99.8,0,7.7,976.5,13.6,61.8,793.6,107.5
HARYANA,1918,10.9,0,11.7,10.6,1.1,34.2,21.5,141.3,5.1,0.3,0.8,0,237.6,10.9,23.4,202.1,1.1
HARYANA,1919,60,2.6,8.1,2.1,14,7.5,204.7,170.7,53.2,0,3.6,23,549.4,62.6,24.2,436,26.6
HARYANA,1920,11.2,12.7,13.7,0.2,21,72.1,201.3,33,9.5,1.2,0,0.1,376.1,23.9,35,315.9,1.4
HARYANA,1921,22,1.2,0.5,1.3,0,12.8,100.4,187.5,86.7,29.1,0,3,444.4,23.2,1.8,387.3,32.1
HARYANA,1922,15,4.4,0.6,0.6,1.4,85.1,141.5,92.6,175.7,1.5,0,26.3,544.6,19.4,2.6,494.8,27.8
HARYANA,1923,16.9,51.2,0.7,0.1,19.2,24.8,182.1,219,17.1,9.4,0.3,33.7,574.4,68.1,20,442.9,43.4
HARYANA,1924,47.1,18.3,2.2,1.3,5.8,16.9,94.8,154.3,251.5,44.8,2,15.3,654.2,65.4,9.4,517.4,62.1
HARYANA,1925,4.7,0.1,0.2,3.2,10.8,154.7,249.5,107.9,10.3,6,11.8,0.3,559.3,4.8,14.1,522.4,18
HARYANA,1926,9.3,9.5,36.9,10.1,32.5,17.8,187.4,253.5,45.4,0.5,2.5,0.1,605.7,18.9,79.5,504.2,3.1
HARYANA,1927,0.2,34.3,14.9,7.5,14.6,13,159.4,161.4,38.6,18.6,1.7,31.9,496,34.4,36.9,372.4,52.2
HARYANA,1928,21.4,28.3,3.4,5.8,3.6,36.1,130.2,75.7,35,7.8,20,17.6,384.9,49.6,12.8,277,45.5
HARYANA,1929,15.5,0.1,0,9.6,4,16.7,133.2,80.7,11.1,4.3,0,26,301.1,15.6,13.5,241.7,30.3
HARYANA,1930,28,10.2,4,1.7,3.4,70,266.7,80.7,30.3,2.5,0.7,2,500.1,38.2,9.1,447.6,5.2
HARYANA,1931,0.4,16.8,14.2,0.3,8.3,11.4,197,121.4,113.3,37.4,0,0.1,520.8,17.3,22.8,443.2,37.5
HARYANA,1932,3.1,2,26,4.9,5.4,13.9,135.7,114.2,117.4,0,0,15.6,438.2,5.1,36.2,381.3,15.6
HARYANA,1933,0.9,19.8,10.6,6.8,45.9,107.9,131.2,225.9,290.7,17.1,0.5,1.2,858.5,20.7,63.3,755.7,18.9
HARYANA,1934,22.7,0.9,47.9,0.7,1.9,60.7,142.3,198.6,17.9,0,0,5.4,499,23.6,50.6,419.5,5.4
HARYANA,1935,35,24.7,6.8,28.4,0.6,5.6,210.4,129.7,93.5,7.5,5.8,14.2,562.2,59.7,35.8,439.2,27.5
HARYANA,1936,1.5,18,6.6,0.7,3.3,139.8,124.7,121.7,61.5,0.1,1.7,25.9,505.5,19.5,10.6,447.7,27.7
HARYANA,1937,0.8,74.4,5.2,19.2,6.2,43.9,171.4,38.8,107.8,0.4,0.3,9.4,477.7,75.2,30.6,361.8,10.1
