DISTRICT,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,JF,MAM,JJAS,OND
HISSAR,1901,26.2,17.1,5.1,0,6.3,6.1,103,88.6,2,0,0,5.6,260.1,43.3,11.4,199.8,5.6
HISSAR,1902,0,3.9,3.6,11.9,21.9,81.7,76,44,31.6,2.5,0,0,277.2,3.9,37.4,233.4,2.5
HISSAR,1903,11.8,3.2,0.8,1.3,15.2,9.3,168.2,69.8,126.1,0,0,0,405.8,15.1,17.3,373.4,0
HISSAR,1904,10.4,0,59.2,0,9.3,35.8,33.6,178.2,61.7,0.5,1.4,17.4,407.5,10.4,68.5,309.3,19.3
HISSAR,1905,33.1,27.7,7.1,0.7,2.8,12.1,101.7,1.5,96.5,0,0,7.1,290.3,60.8,10.6,211.9,7.1
HISSAR,1906,2.1,54.4,30.2,0,0.2,45.5,49.2,60.2,96.9,0,0,1.9,340.6,56.5,30.4,251.8,1.9
HISSAR,1907,7.9,60,27.2,38.9,17.4,43.7,175.7,133.2,7.5,0,0,0,511.5,67.9,83.5,360.2,0
HISSAR,1908,25.8,2.2,0,4.3,37.9,13.9,156.4,274.5,20.5,0,0,0,535.3,27.9,42.2,465.2,0
HISSAR,1909,7.1,31,0,72.4,2.1,103,218.9,101.3,163.9,8.2,0,31.6,739.5,38.1,74.6,587.1,39.7
HISSAR,1910,20.1,1.9,0,3.8,0.5,165.1,107.1,116.8,87.5,44.6,0,0,547.5,22,4.3,476.6,44.6
HISSAR,1911,40.9,2.1,47.6,0,0,35.4,14.3,42.8,84,0,34.4,0,301.6,43,47.6,176.6,34.4
HISSAR,1912,59.5,6.4,11.4,6.6,7.2,19,98,108.7,30.6,0,21.4,0,368.8,65.9,25.3,256.3,21.4
HISSAR,1913,2.2,34.9,19,0.8,45.1,51.7,114,12.9,22.9,0,0.1,9.6,313.3,37.1,64.9,201.5,9.7
