DISTRICT,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,JF,MAM,JJAS,OND
JHAJJAR,1901,21.1,11.5,2.5,0,1.3,11.4,106.5,92.1,8,0,0,16,270.5,32.6,3.8,218.1,16
JHAJJAR,1902,0,0,2.2,7.4,32,38.4,170.7,31.9,34.6,2,0,0,319.2,0,41.6,275.6,2
JHAJJAR,1903,12.3,0,0,0,5.1,15.9,92.9,123.6,112.9,10.2,0,0,372.9,12.3,5.1,345.3,10.2
JHAJJAR,1904,2.7,0,19.7,0,6.6,37,77,156.3,86.8,0,10.6,12.1,408.8,2.7,26.3,357.1,22.7
JHAJJAR,1905,37.6,7.1,13.6,0,2.4,1.9,25.3,20.7,26.7,0,0,0.2,135.4,44.7,16,74.6,0.2
JHAJJAR,1906,2.3,36.8,48.2,0.3,0,53.2,149.3,58.1,196.5,0,0,1.1,545.8,39.1,48.5,457.1,1.1
JHAJJAR,1907,12.3,16.3,14.7,39.6,12.5,0,63.2,150.1,0,0,0,0,308.8,28.7,66.8,213.3,0
JHAJJAR,1908,22.8,3.2,0,0,12.7,17.2,215.5,357.4,19.5,1.3,0,0,649.5,26,12.7,609.5,1.3
JHAJJAR,1909,3.7,3.6,0,72.4,1.3,144.8,187.5,126.7,136.3,0.3,0,31.9,708.6,7.3,73.7,595.3,32.2
JHAJJAR,1910,11,3.9,0,1.9,0,59.2,84.3,137.7,149.5,108.5,0,0,555.9,14.9,1.9,430.6,108.5
JHAJJAR,1911,83.2,0,30,0,0,46.2,15.7,38,341.3,19.3,23.6,0,597.2,83.2,30,441.2,42.8
JHAJJAR,1912,49.2,19.8,1.8,4.2,2.6,19.9,96.4,83.7,150.8,0,8.6,0,437,69,8.6,350.8,8.6
JHAJJAR,1913,1.7,51,11.2,2.5,80,42.7,124.9,71.4,6.9,0,0.7,3.4,396.4,52.7,93.8,245.8,4.1
JHAJJAR,1914,0,3.6,1.7,4.9,42.8,21.4,245,99.1,80.9,12.3,0,0,511.8,3.6,49.4,446.5,12.3
JHAJJAR,1915,24.7,41.2,54.6,13.3,4.2,30.8,65.6,97.3,58.5,7,0,0.9,398.1,65.9,72,252.2,7.9
JHAJJAR,1916,0,16.4,0,4.4,2.5,26.1,120.1,373.5,109.7,26.8,0,0,679.6,16.4,6.9,629.5,26.8
JHAJJAR,1917,4,6.3,3.3,27.6,18.7,34.4,182.6,200.1,328,66.7,0,5,876.9,10.3,49.6,745.3,71.7
JHAJJAR,1918,15.2,0,16.5,7.8,0.9,16.2,5.1,86.3,0.4,0,0,0,148.4,15.2,25.2,108,0
JHAJJAR,1919,60.3,2.5,9.8,8.1,1.9,3.9,161.6,223.1,59.5,0,0.9,17.2,548.8,62.8,19.8,448,18.1
JHAJJAR,1920,19.7,22.2,12.6,3.2,35.9,39.5,239.1,15.8,7.9,0,0,0,396,41.9,51.7,302.4,0
JHAJJAR,1921,2.3,0,0,0,0,17.1,69.3,221.6,38.8,12.1,0,0,361.2,2.3,0,346.8,12.1
