DISTRICT,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,JF,MAM,JJAS,OND
KAITHAL,1901,38.4,27.7,19.8,0,11.2,0.3,66.6,193.5,11.8,0,0,2.6,371.8,66.1,31,272.2,2.6
KAITHAL,1902,0,1.5,3.1,15.7,11.5,47.9,52.6,114.1,83,16.6,0,0,346.1,1.5,30.3,297.6,16.6
KAITHAL,1903,16.1,0,4,0,0.6,1,214.6,113.7,89.7,2.1,0,1.4,443.1,16.1,4.7,418.9,3.5
KAITHAL,1904,10.3,1.4,56.4,0,25.8,6.9,92.2,49.9,98.1,0,1.7,8,350.8,11.8,82.2,247.1,9.7
KAITHAL,1905,49.8,24.3,21.5,1.9,15.7,27.3,68.7,32.1,53.8,0,0,5.7,300.7,74.1,39,182,5.7
KAITHAL,1906,1.3,62.6,27.4,1,2,22.9,73.9,222.9,102.3,0,0,1.3,517.5,63.9,30.4,422,1.3
KAITHAL,1907,22.9,58.3,23.7,41.4,4.9,14,115.2,174.2,1.3,0,0,0,455.8,81.2,70,304.6,0
KAITHAL,1908,31.6,0,0,14.7,13,0,101.8,255.8,7.7,0,0,1.9,426.5,31.6,27.7,365.3,1.9
KAITHAL,1909,6.4,15.7,0,70.5,0,139.1,196.7,119.9,197.5,8.5,0,19.6,774,22.1,70.5,653.3,28.1
KAITHAL,1910,20.5,4.8,0,0.3,0.3,44.4,119.7,149.5,118.6,41.8,0,0,500,25.3,0.6,432.3,41.8
KAITHAL,1911,88.9,1.4,50.4,2,0,49.2,36,65,110.4,1.6,28,0,432.9,90.3,52.4,260.6,29.6
KAITHAL,1912,27.3,1.7,9.6,19.2,9.2,42.3,162.1,126.6,82.8,0,6.7,0.5,488.1,29,38,413.9,7.2
KAITHAL,1913,0,56.5,54.7,2.3,101.3,181.6,32.3,102.5,6.1,0,0,6.3,543.5,56.5,158.2,322.5,6.3
KAITHAL,1914,0,5.8,3.2,38.3,24.7,46.1,233.8,62.6,242.7,7.3,0.5,0,665,5.8,66.2,585.2,7.8
KAITHAL,1915,60.5,48.2,23.1,9.5,3.7,0.8,45.1,54.2,123.9,5.9,0,1.3,376.2,108.7,36.3,224.1,7.2
KAITHAL,1916,0,9.3,0.9,3,12.9,29,123,143.2,106.5,106.8,0,0,534.5,9.3,16.9,401.6,106.8
KAITHAL,1917,13.1,3.5,3.2,40.6,20.8,110.7,97.1,135.7,293.5,145.5,0,14.8,878.7,16.6,64.6,637.1,160.4
KAITHAL,1918,4.8,0,10.5,22,0,51.5,19.3,173.2,0,0,2.7,0,284.1,4.8,32.5,244,2.7
KAITHAL,1919,55.7,5,13.3,1.1,0.3,0.3,290,153.2,50.1,0,1.8,23.6,594.5,60.7,14.7,493.7,25.4
KAITHAL,1920,12.5,21.1,19.7,0,6.7,31.9,217.7,11.4,8.3,0,0,0,329.4,33.6,26.4,269.3,0
KAITHAL,1921,6.7,0,0,4.7,0,4.8,102,141.5,65.2,23,0,5.3,353.3,6.7,4.7,313.6,28.3
KAITHAL,1922,7.1,5.5,1.2,0.3,3.3,87.4,76.8,83.4,191.5,10.1,0,13.2,479.8,12.6,4.8,439.1,23.3
KAITHAL,1923,20.8,57.5,0,0,9.3,42,163,303.3,3.1,1.7,2.3,34.2,637.2,78.3,9.3,511.4,38.2
KAITHAL,1924,68.6,24.8,0,0.8,3.4,3.5,44,161.9,244.5,27.3,0,14.4,593.3,93.5,4.2,453.9,41.7
KAITHAL,1925,1.8,0,0,15.3,9.8,114.5,285.9,60.7,5.6,14.4,10.6,0,518.5,1.8,25.1,466.7,25
KAITHAL,1926,11.1,17.4,41.6,16.3,49.3,9.9,120.7,177.3,26.3,0,0,0,469.7,28.4,107.1,334.2,0
KAITHAL,1927,0,16.3,33.1,0,9.7,20.6,141.4,69.9,20.1,6.5,1,26.8,345.4,16.3,42.9,251.9,34.3
KAITHAL,1928,19.9,20.5,3,5.3,0.3,48.9,128.3,68.7,46.4,0,16.8,10.1,368.2,40.4,8.6,292.2,27
KAITHAL,1929,11.4,0,0,9.1,0.5,15.2,120,78.4,17,3.3,0,29.7,284.5,11.4,9.6,230.6,33
KAITHAL,1930,21,4.7,6.1,1.3,1.8,52.3,227.6,35.6,48.7,4.1,0,2.6,405.8,25.7,9.2,364.2,6.7
KAITHAL,1931,2.1,23,14.3,3.1,5.5,8.6,125.4,144.8,13.7,16.4,0,0.4,357.4,25.1,22.9,292.5,16.8
KAITHAL,1932,2.9,0.8,37.4,3,0.9,8.7,118.4,75.9,86.1,0,0,17.2,351.4,3.6,41.3,289.2,17.2
KAITHAL,1933,0,12.9,13.3,3.9,22,63.5,169.1,237.6,251,1.2,2.1,0,776.5,12.9,39.2,721.1,3.3
KAITHAL,1934,17.5,0,39.9,0.3,9.1,68.1,143.3,174.2,15.4,0,0,3.1,471,17.5,49.3,401.1,3.1
KAITHAL,1935,37.9,28.9,6.6,56,1.4,0,267.6,177,67.7,22.5,2.2,16.2,684.1,66.8,64.1,512.3,40.9
KAITHAL,1936,3,42.8,5.4,1.5,19,123.3,125.7,96.6,38.8,0,0,44.8,500.8,45.8,25.9,384.3,44.8
KAITHAL,1937,3.4,136.3,5.9,37.3,10,61.9,198.7,21.8,191.6,3.1,1.1,12.2,683.4,139.7,53.3,474.1,16.3
KAITHAL,1938,55.4,5.5,0.2,0,9.2,26.8,42.9,35.8,2.5,16.2,0,0,194.4,60.9,9.3,107.9,16.2
KAITHAL,1939,3.9,47.8,27.2,0,0,52.8,126.2,30.9,31.3,0,0,0,320,51.6,27.2,241.2,0
KAITHAL,1940,43.2,32.9,1.3,9.8,1.9,73.1,92.5,129.1,11.2,0,0,0,394.8,76.1,13,305.8,0
KAITHAL,1941,51.4,6.1,6.1,0,35.2,217.7,77.5,119.6,41.9,8,0,1,564.4,57.5,41.3,456.6,9
KAITHAL,1942,40.6,56.7,4,11.8,4.2,77.7,290.7,227.6,192.4,2.8,0,28.1,936.5,97.3,20,788.4,30.9
KAITHAL,1943,22.2,0,1.5,16.7,8.8,17.2,133.9,88.7,80.9,0,0,0,369.8,22.2,27,320.7,0
KAITHAL,1944,20.6,25.3,28.2,16.8,0,18.8,94,103,45.2,8.9,2.5,1.5,364.9,45.9,45,261,13
KAITHAL,1945,42,0,3,8.5,4.3,38.1,74.3,97.9,451.9,1.6,0,0,721.6,42,15.8,662.2,1.6
KAITHAL,1946,1.2,7,3.8,5.8,19.8,43.7,91.3,126.9,13.6,7.3,2.4,15.7,338.6,8.2,29.5,275.5,25.4
KAITHAL,1947,19.3,8.3,10.4,0,0,36.4,,126.1,276.6,1.9,0,4.8,,27.6,10.4,,6.8
KAITHAL,1948,9,23.8,14.6,4.7,8.6,20.8,150.4,300.6,48.7,0,0,0,581.2,32.9,27.9,520.4,0
KAITHAL,1949,0,69.2,0.8,0,5.1,3.2,273.1,31.8,23.2,0,0,0,406.4,69.2,5.8,331.4,0
KAITHAL,1950,32.4,12.4,39.2,0,0,6.8,185.2,141.6,84.4,0,0,0,502.1,44.9,39.2,418.1,0
KAITHAL,1951,2.5,0,38.2,9.8,1.3,6.8,17.7,104.7,9.6,0,16.7,0,207.1,2.5,49.2,138.7,16.7
KAITHAL,1952,14,9.7,17.6,1.7,0.4,56.1,97.3,414.4,0,0,0,2.1,613.4,23.8,19.8,567.7,2.1
KAITHAL,1953,48.1,2.9,0,5.2,0,130.7,200,101.3,76.9,0,0,14.7,579.7,51,5.2,508.8,14.7
KAITHAL,1954,28.7,86.4,22.8,0,9.8,41.8,136.6,13.3,190.3,1.2,0,0,530.9,115.1,32.7,382,1.2
KAITHAL,1955,64.2,0,4.7,8.4,31.3,47.1,74.2,89.7,228.8,132.1,0,0.6,681.1,64.2,44.4,439.8,132.7
KAITHAL,1956,13.9,1.2,27.5,2.3,0.9,94.3,218.7,180.5,2.5,76.3,0,1.2,619.1,15.2,30.7,495.9,77.4
KAITHAL,1957,83,0,19.4,5.3,6.2,14.6,108.2,78.8,203.7,17.7,11.9,27.4,576.2,83,30.9,405.3,57
KAITHAL,1958,8.7,1.5,4,1.6,1.3,34.6,107.4,180.4,420.9,50.5,0,15.1,826,10.3,6.9,743.3,65.5
KAITHAL,1959,25.1,13.8,1.6,1.5,26,31.1,80.3,119.1,98.3,4.4,14.3,0,415.5,38.9,29,328.8,18.8
KAITHAL,1960,6.7,0,43.8,10.6,1,39.2,235.9,401.9,0,3.8,0,15,757.8,6.7,55.4,677,18.7
KAITHAL,1961,48.7,26.2,3.5,7.5,0,12,91.4,116.6,59.2,6.9,0,13.2,385.3,74.9,11,279.3,20.1
KAITHAL,1962,6.1,4.3,15.2,0,0,1.6,59.3,40.5,223.9,0,4.7,0,355.6,10.4,15.2,325.4,4.7
KAITHAL,1963,0,0,1.6,0,0,0.6,16.7,221.9,1.8,0,0,6.6,249.2,0,1.6,241,6.6
KAITHAL,1964,3,0,0,0,14.4,3.9,388.6,179.5,131.2,0,0,0.5,721.1,3,14.4,703.2,0.5
KAITHAL,1965,13.4,22.2,6.3,7.3,17.1,0,117.3,140.6,2.9,13.9,0,0,341,35.6,30.7,260.7,13.9
KAITHAL,1966,,,,,,,,,,,,,,,,,
KAITHAL,1967,,,,,,,,,,,,,,,,,
KAITHAL,1968,8.3,11.5,20.3,0,0,67,240.7,149,0,0,0,0,496.8,19.8,20.3,456.6,0
KAITHAL,1969,0,0,10.3,0,13.8,4.2,52.8,44.2,108.6,0,0,0,234,0,24,209.9,0
KAITHAL,1970,46.4,4.8,3,0,1.4,67.6,53.4,135.8,46,0,0,0,358.5,51.3,4.4,302.8,0
KAITHAL,1971,,,1.7,17.5,,43.8,193.4,,37.5,3.8,0,0,,,,,3.8
KAITHAL,1972,1.2,7.9,2.9,8.1,0,24.1,35.5,91.9,0,13.5,14.4,0,199.4,9,11.1,151.4,27.9
KAITHAL,1973,5.9,8.9,0.8,0,25.4,68.8,88.9,98.2,52,6.4,0,,,14.8,26.2,307.9,
KAITHAL,1974,0,0,0,0,0,39.6,176,128.8,0,0,0,11.6,356,0,0,344.4,11.6
KAITHAL,1975,19,0.4,11.6,0,0.4,19,167.6,202.7,113.7,0,0,0,534.6,19.4,12,503.1,0
KAITHAL,1976,5.5,19.5,22.1,0.4,14.3,58.8,200.6,450.5,78.4,0,0,0,850,25,36.8,788.2,0
KAITHAL,1977,35.6,0,0,27.2,9.7,38.5,387.4,195,109.2,28,0,5.7,836.4,35.6,36.9,730.1,33.7
KAITHAL,1978,0,23.6,88.6,5.8,2,74,147.4,160.4,73.9,,0,0,,23.6,96.4,455.7,
