DISTRICT YEAR,,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,JF,MAM,JJAS,OND
KARNAL,1901,46,27.2,24.3,0,1.8,16,359.3,152.5,6.6,0,0,7.9,641.6,73.2,26.1,534.4,7.9
KARNAL,1902,0,2.5,2.8,12.4,15.2,129.1,286.3,308.1,34.1,35,0,0,825.5,2.5,30.4,757.6,35
KARNAL,1903,29.4,0,12.2,0,4.1,6.4,168.2,242.4,52.1,2.3,0,3,520.1,29.4,16.3,469.1,5.3
KARNAL,1904,15.2,0,63.5,0,92.2,34.3,279.5,226.9,90.7,6.4,3.8,41.9,854.4,15.2,155.7,631.4,52.1
KARNAL,1905,68.5,27.2,25.4,13.7,12.7,57.4,56.7,11.2,286.8,0,0,9.9,569.5,95.7,51.8,412.1,9.9
KARNAL,1906,11.9,125.8,50.5,0,0,57.1,250.4,142.5,159.4,0,0,0,797.6,137.7,50.5,609.4,0
KARNAL,1907,17.8,59.7,29.2,28.5,15.2,0,176.6,203.2,0,0,0,0,530.2,77.5,72.9,379.8,0
KARNAL,1908,77.5,36.8,0,26.2,26.2,0,193.4,589.4,0,0,6.9,0,956.4,114.3,52.4,782.8,6.9
KARNAL,1909,9.4,16.6,0,91.3,0,100.4,280,214.7,185.4,2.5,0,38.1,938.4,26,91.3,780.5,40.6
KARNAL,1910,,,,,,,,,,,,,,,,,
KARNAL,1911,151.6,2.5,72.4,0,0,48.3,43.6,44.5,268.3,20.8,120.7,0,772.7,154.1,72.4,404.7,141.5
KARNAL,1912,52.1,0,5.1,12.6,7.6,7.6,259.3,255.4,119.3,0,5.1,3.8,727.9,52.1,25.3,641.6,8.9
KARNAL,1913,3.8,44.5,47.1,2.5,47,114.3,120.6,231.2,58.4,0,0,17.8,687.2,48.3,96.6,524.5,17.8
KARNAL,1914,0,20.3,2.5,33,47.1,44.4,335.5,161.2,254,20.3,0,0,918.3,20.3,82.6,795.1,20.3
KARNAL,1915,59.2,67.1,25.4,2.5,29.2,5.1,147.2,118.1,305.8,29.2,0,0,788.8,126.3,57.1,576.2,29.2
KARNAL,1916,1.3,8.4,0,2,22.9,77.2,264.7,222.1,261.5,33.8,0,0,893.9,9.7,24.9,825.5,33.8
KARNAL,1917,6.4,9.6,2.8,24.6,19.4,89.2,205.5,199.7,192.4,137.7,0,14.3,901.6,16,46.8,686.8,152
KARNAL,1918,10.6,0,8.4,11.9,0,59.9,40.7,217.5,0,0,1.5,0,350.5,10.6,20.3,318.1,1.5
KARNAL,1919,70.3,2.8,9.4,1.3,7.6,6.6,228.7,281.9,65.6,0,0,20.1,694.3,73.1,18.3,582.8,20.1
KARNAL,1920,8.4,12.8,7.9,0,0,108.6,209.9,34.1,6.1,7.1,0,0,394.9,21.2,7.9,358.7,7.1
KARNAL,1921,40.4,1.3,0.3,3,0,20.3,153.7,174.5,164.7,57.4,0,0,615.6,41.7,3.3,513.2,57.4
KARNAL,1922,18,13.4,0,2.8,1.8,209.9,231.1,229.4,67.3,5.8,0,30.3,809.8,31.4,4.6,737.7,36.1
KARNAL,1923,10.9,61.7,1.3,0,22.6,0,340,304.7,26.6,14.7,0,52.6,835.1,72.6,23.9,671.3,67.3
KARNAL,1924,76.7,6.8,1.6,0,5.6,17.6,137.4,195.3,439.4,48.8,0,14,943.2,83.5,7.2,789.7,62.8
KARNAL,1925,33.3,0,0,8.6,15.8,374,433.5,134.7,0,0.5,23.7,0,1024.1,33.3,24.4,942.2,24.2
KARNAL,1926,7.6,19.1,55.6,14.7,19,21.5,221.9,229.2,54.4,0,4.1,0,647.1,26.7,89.3,527,4.1
KARNAL,1927,0,84.4,19.3,4.1,12,5.3,246.9,109.8,70.9,85.9,0,39.1,677.7,84.4,35.4,432.9,125
KARNAL,1928,57.6,50.9,0,2,8.1,23.9,155.1,149.6,51.3,0,35.3,11.4,545.2,108.5,10.1,379.9,46.7
KARNAL,1929,47.4,0,0,20,2.5,2.6,136.7,92.2,0.5,1.8,0,50.3,354,47.4,22.5,232,52.1
KARNAL,1930,42.4,6.9,0,3,0.8,85.1,252.4,55.6,37.1,0,0,0,483.3,49.3,3.8,430.2,0
