DISTRICT,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,JF,MAM,JJAS,OND
KURUKSHETRA,1901,56.3,100.8,27.9,0,0,5.1,276.3,211.7,13.9,3.3,0,5.1,700.4,157.1,27.9,507,8.4
KURUKSHETRA,1902,0,0.5,6.6,21.4,10.2,86.8,179.8,123.2,45.7,2.8,0,0,477,0.5,38.2,435.5,2.8
KURUKSHETRA,1903,39.1,0,5,0,1.8,2.5,169.4,335.8,184,0,0,17.8,755.4,39.1,6.8,691.7,17.8
KURUKSHETRA,1904,,0,75.2,0,36.7,76.7,219.3,134.7,120.2,5.6,17.7,26.7,,,111.9,550.9,50
KURUKSHETRA,1905,57.5,27.1,29.5,0,14,36.6,64,32.7,120.2,0,0,9.2,390.8,84.6,43.5,253.5,9.2
KURUKSHETRA,1906,,112.1,28.7,0,3.6,57.4,103.8,136.4,269,0,0,0,,,32.3,566.6,0
KURUKSHETRA,1907,7.1,72.1,42.9,55.9,0,4.6,265.6,162.6,0,0,0,0,610.8,79.2,98.8,432.8,0
KURUKSHETRA,1908,32.5,12,0,18.8,20.5,3,89.9,306.1,0,0,3.3,1.3,487.4,44.5,39.3,399,4.6
KURUKSHETRA,1909,5.8,19.1,0,86.6,0,116.6,145.4,122.4,161.4,0,0,28.8,686.1,24.9,86.6,545.8,28.8
KURUKSHETRA,1910,42.4,16,0,0,0,51.8,106.8,114,277.4,55.4,0,0,663.8,58.4,0,550,55.4
KURUKSHETRA,1911,126.4,5.1,72.4,0,0,88.9,24.4,12.2,218.2,0,55.1,0,602.7,131.5,72.4,343.7,55.1
KURUKSHETRA,1912,32.8,9.9,27.2,14.5,0,9.6,216.3,273.4,120.2,0,5.3,0,709.2,42.7,41.7,619.5,5.3
KURUKSHETRA,1913,2,85.6,40.6,5.6,136.9,85.8,100.6,213.9,2.5,0,0,11.2,684.7,87.6,183.1,402.8,11.2
KURUKSHETRA,1914,0,15.3,4.5,33.3,40.4,46.5,322.9,173.7,390.7,13.7,0,0,1041,15.3,78.2,933.8,13.7
KURUKSHETRA,1915,51.5,42.7,16.8,3,0,44.5,63,217.8,371.6,15,0,5.4,831.3,94.2,19.8,696.9,20.4
KURUKSHETRA,1916,0,14.8,0,0,15.7,57.3,235.6,129.1,112.5,183.9,0,0,748.9,14.8,15.7,534.5,183.9
KURUKSHETRA,1917,15.5,3.6,4.6,17.8,19.5,70.3,232,118.4,285.6,147.3,0,15.5,930.1,19.1,41.9,706.3,162.8
KURUKSHETRA,1918,4.8,0,18.2,25.4,0,91.4,45.2,144.6,0,0,0,0,329.6,4.8,43.6,281.2,0
KURUKSHETRA,1919,86.4,4.3,32,0,9.7,3.8,286.8,187.4,66.8,0,0,35,712.2,90.7,41.7,544.8,35
KURUKSHETRA,1920,9.4,10.6,5.1,0,0,58.1,178.2,89.4,12.7,0,0,0,363.5,20,5.1,338.4,0
KURUKSHETRA,1921,33.5,6.4,0,0,0,31.3,126.4,203.1,77,13.5,0,0,491.2,39.9,0,437.8,13.5
KURUKSHETRA,1922,32,23.9,1.5,0,3.8,140.8,157.5,143.5,186.8,0,0,15.7,705.5,55.9,5.3,628.6,15.7
KURUKSHETRA,1923,27,71.7,0,1,20,4.1,253,254.4,24.1,4.6,0,44.6,704.5,98.7,21,535.6,49.2
KURUKSHETRA,1924,68.6,17.5,8.7,1.8,0,6.8,167.4,142.1,434.9,33.8,0,16.8,898.4,86.1,10.5,751.2,50.6
KURUKSHETRA,1925,29.7,1.5,0,18.3,6.6,139.4,279.3,146.3,8.9,0,16.8,0,646.8,31.2,24.9,573.9,16.8
KURUKSHETRA,1926,6.6,45.9,38.6,8.9,17,3.3,212.5,51.4,28.2,0,4.6,0,417,52.5,64.5,295.4,4.6
KURUKSHETRA,1927,0,66.6,29.2,1.3,8.9,5.5,177.9,111.8,21.1,72.6,0.5,57.1,552.5,66.6,39.4,316.3,130.2
KURUKSHETRA,1928,44.5,59.4,0,0,0,30,222.2,63.2,93.2,0,32.5,41.7,586.7,103.9,0,408.6,74.2
KURUKSHETRA,1929,19.8,0,0,13.7,0,36.8,184.6,75.9,12.4,0.8,0,44.4,388.4,19.8,13.7,309.7,45.2
KURUKSHETRA,1930,27.2,2.8,10.9,4.9,0,84.8,168.9,96,54.6,2,0,6.4,458.5,30,15.8,404.3,8.4
KURUKSHETRA,1931,0,41.3,8.6,0,15.3,6.4,143,131.3,77,16.8,0,0,439.7,41.3,23.9,357.7,16.8
KURUKSHETRA,1932,0,7.6,43.8,9.1,6.6,34.3,196.6,131.4,232.8,0,0,26.2,688.4,7.6,59.5,595.1,26.2
KURUKSHETRA,1933,5.8,35.4,35,7.1,3,96,221.6,137.4,275,14,0,0,830.3,41.2,45.1,730,14
KURUKSHETRA,1934,39.4,0,31.2,0,0,70.6,186.3,118.3,24.4,0,0,2.8,473,39.4,31.2,399.6,2.8
KURUKSHETRA,1935,51.8,40.9,5.3,75,0,0,270.5,238.6,58.2,4.3,2.3,33.6,780.5,92.7,80.3,567.3,40.2
KURUKSHETRA,1936,0,19.9,0.5,0,4.1,244,193.5,164.9,77.9,0,0,39.7,744.5,19.9,4.6,680.3,39.7
KURUKSHETRA,1937,5.8,130,12.4,38.1,4.3,106.9,278.6,67,213.4,0,1.8,22.3,880.6,135.8,54.8,665.9,24.1
