DISTRICT,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,,DEC,ANNUAL,JF,MAM,JJAS,OND
MEWAT,1901,40.9,23.7,1.6,0,4.3,25.3,128.6,175.7,5.8,2.5,0,0,408.5,64.6,5.9,335.5,2.5
MEWAT,1902,0,0,0,0.7,16.2,73.1,212.5,132.3,113.6,9.9,0,0,558.2,0,16.9,531.4,9.9
MEWAT,1903,5.7,0.2,1.5,1.3,10.4,5.1,159.1,145.7,55.1,16.3,0,0,400.5,5.9,13.2,365.1,16.3
MEWAT,1904,7.7,3.9,45.6,0.5,45.7,32.7,157,288.5,159.5,0,28.2,15.5,784.8,11.6,91.9,637.8,43.6
MEWAT,1905,29.3,11.9,7.4,0,7.6,20.9,122.5,41.3,81.6,0,0,0.8,323.4,41.2,15.1,266.3,0.8
MEWAT,1906,1.9,43.7,31.3,0,1.3,68.6,167.6,78.9,290.8,0,0,10.7,694.8,45.6,32.6,605.9,10.7
MEWAT,1907,27.9,83.3,16.2,19.7,8.4,10.6,89.7,195,2.5,0,0,0,453.4,111.2,44.3,297.9,0
MEWAT,1908,26.3,4.8,0.4,1.2,14.3,12,247.4,484.5,14,0,0.9,0,805.7,31.1,15.8,757.9,0.9
MEWAT,1909,7.6,5.3,0,73.9,5.6,85.3,266.6,119.5,63.7,0.7,0,43.3,671.5,12.9,79.6,535.1,43.9
MEWAT,1910,19.7,6.2,0,1.9,5.6,76.2,114.7,154.1,177,308.8,0,0,864,25.8,7.5,521.9,308.8
MEWAT,1911,46.8,0,32.9,0,0.1,44.6,17.1,59.5,255.7,4.8,14.7,0,476.1,46.8,32.9,377,19.4
MEWAT,1912,22.2,23.3,4.2,3.7,0.1,41.9,190,157.7,207.2,0,0,0,650.3,45.5,7.9,596.9,0
MEWAT,1913,0,46.9,6.9,2.1,115.1,78.4,85.8,57,6.7,0,1.1,9.4,409.4,46.9,124.1,227.9,10.5
MEWAT,1914,0,0.8,1.8,2.5,21.5,35.1,241.9,88.4,125,22.2,1.6,0,540.9,0.8,25.8,490.4,23.9
MEWAT,1915,13,39.2,77.8,10.1,10.1,36.8,76.4,97.3,55.5,7.9,0,1.5,425.7,52.2,98,266,9.4
MEWAT,1916,0,31.2,0,1,3.7,30.7,170.8,297.4,143.4,23.5,0,0,701.7,31.2,4.7,642.3,23.5
MEWAT,1917,3.9,6.7,1.6,40.1,27,60,260.1,301.9,394.5,33.5,0,0,1129.2,10.5,68.7,1016.5,33.5
MEWAT,1918,18.4,0,8.1,3.4,0,20,16.4,69.8,20.9,0,0,0,157,18.4,11.5,127.2,0
MEWAT,1919,42,4.8,3.3,0.7,7,2.3,317.7,297.5,42.4,0,3.4,7.5,728.7,46.8,11,659.9,10.9
MEWAT,1920,7.6,2,15.4,0,19.1,75.3,178.3,39.3,0.7,0,0,0,337.7,9.6,34.5,293.6,0
MEWAT,1921,35,0,0,3.6,0,21.3,108.3,284.2,113.1,0,0,2.8,568.4,35,3.6,527,2.8
MEWAT,1922,1.5,2.1,0,2.1,1.8,52.2,168.3,167.5,205.2,9.2,0,33.7,643.7,3.7,3.9,593.2,42.9
MEWAT,1923,0.8,19.7,0,0,5.5,21.2,176.5,231.5,15.9,5.3,0,41.5,518,20.5,5.5,445.2,46.7
MEWAT,1924,25.7,12.8,0.6,0,1.7,14.8,92.2,173.9,354.6,47.1,12.6,27.8,763.7,38.5,2.3,635.5,87.4
