DISTRICT,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,,ANNUAL,JF,MAM,JJAS,OND
PALWAL,1901,48,27.4,7.6,0,0,10.7,144.1,208.8,13.2,4.3,0,2.8,466.9,75.4,7.6,376.8,7.1
PALWAL,1902,0,0,3.6,4.3,2.8,51.8,249.8,124.7,50.9,2.3,0,0,490.2,0,10.7,477.2,2.3
PALWAL,1903,6.6,0,1,0,10.2,14,191.9,142.5,17,14.2,0,0,397.4,6.6,11.2,365.4,14.2
PALWAL,1904,2.8,3.3,100.2,3.6,38.1,12.5,105.3,290.3,169.1,0,13.5,13.5,752.2,6.1,141.9,577.2,27
PALWAL,1905,23.5,16.7,19.4,12.2,0,26,63.6,8.8,134.1,0,0,2.3,306.6,40.2,31.6,232.5,2.3
PALWAL,1906,6.1,32.8,30.9,0,0,107.5,156.2,61,335.5,0,0,11.4,741.4,38.9,30.9,660.2,11.4
PALWAL,1907,27.5,53.2,22.1,22.4,0.8,7.4,175,188.8,0,0.3,0,0,497.5,80.7,45.3,371.2,0.3
PALWAL,1908,35.8,1.5,0,0.8,12.7,23.4,284.4,529.5,16.5,0,0,1.3,905.9,37.3,13.5,853.8,1.3
PALWAL,1909,14.4,3.6,0,75.1,5.6,167.6,156.4,79.3,59.9,0,0,36.6,598.5,18,80.7,463.2,36.6
PALWAL,1910,30.2,2.3,0,0.5,4.6,140.5,187.6,130.4,232,255.8,0,0,983.9,32.5,5.1,690.5,255.8
PALWAL,1911,66.1,0,37.1,0,0,17.3,20.6,60.5,249.1,23.9,15.7,0,490.3,66.1,37.1,347.5,39.6
PALWAL,1912,28.4,23.3,3.8,5.6,2.3,35.8,212.3,100.5,285.7,0,0,0,697.7,51.7,11.7,634.3,0
PALWAL,1913,0,47.2,2,0,78.5,137.9,135.9,30.8,12.7,0,0,4.9,449.9,47.2,80.5,317.3,4.9
PALWAL,1914,0,1.1,9.4,90.4,24.1,45.7,327.7,115.3,318.2,23.8,0,0,955.7,1.1,123.9,806.9,23.8
PALWAL,1915,23.4,53.6,183.3,16,13.9,23.1,136.9,87.3,103.1,0.8,0,1.5,642.9,77,213.2,350.4,2.3
PALWAL,1916,0,34.6,0,4.8,2.8,85.3,176.9,324.5,195.3,48.8,0,0,873,34.6,7.6,782,48.8
PALWAL,1917,12.1,15,6.3,48.7,38.1,43,210.6,245,214.2,60.9,0,0.5,894.4,27.1,93.1,712.8,61.4
PALWAL,1918,15.7,0,35.4,19.3,0,20.3,18.3,113.5,26.7,0,0,0,249.2,15.7,54.7,178.8,0
PALWAL,1919,81.1,1.3,3.6,1,0.5,6.1,328.3,250,85.2,0,8.9,5.1,771.1,82.4,5.1,669.6,14
PALWAL,1920,11.4,16,34.5,0,14,98.7,331,58.7,0,0,0,0,564.3,27.4,48.5,488.4,0
PALWAL,1921,26.7,0,0,0,0,20.8,71.5,290.1,85.3,7.6,0,5.1,507.1,26.7,0,467.7,12.7
PALWAL,1922,6.4,1.3,0,1,0,65.8,143.3,91.2,234.9,0,0,27.2,571.1,7.7,1,535.2,27.2
PALWAL,1923,0,29.4,0,0,14,31.5,191.9,175.8,37.3,4.1,0,50.8,534.8,29.4,14,436.5,54.9
PALWAL,1924,24.5,47.3,0,0,3,6.9,121.3,191.7,313.8,45.5,13.2,32,799.2,71.8,3,633.7,90.7
PALWAL,1925,1,0,3.3,0,20.6,166.4,241.5,96.7,24.1,7.4,4.8,0,565.8,1,23.9,528.7,12.2
PALWAL,1926,6.6,2.5,38.1,16.8,22.1,6.4,313.9,170.5,77.7,0,2.8,0,657.4,9.1,77,568.5,2.8
PALWAL,1927,0,25.9,7.1,10.4,36.9,24.9,201.8,338.4,42.7,8.1,0,10.7,706.9,25.9,54.4,607.8,18.8
