DISTRICT,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,JF,MAM,JJAS,OND
PANIPAT,1901,35.3,25.9,19.3,0,6.9,32.5,103.1,201.3,25.9,0,0,14,464.2,61.2,26.2,362.8,14
PANIPAT,1902,0,0,3.5,1.5,14,68.8,247.6,345.1,33.8,37.3,0,0,751.6,0,19,695.3,37.3
PANIPAT,1903,12.2,1.3,0,0,2.1,2.8,269.3,314.5,64.6,0,0,0,666.8,13.5,2.1,651.2,0
PANIPAT,1904,7.9,0,82.1,0.8,35.6,11.9,149.7,76.9,108.1,0,7.3,29.5,509.8,7.9,118.5,346.6,36.8
PANIPAT,1905,55.3,12.7,17.6,0,15.7,25.9,146.6,53.6,125.2,0,0,3.5,456.1,68,33.3,351.3,3.5
PANIPAT,1906,15.7,119.6,14.4,0,0,63,97.6,197.9,251.3,0,0,0,759.5,135.3,14.4,609.8,0
PANIPAT,1907,21.8,29.7,21.1,41.9,7.6,3.6,193,179.6,0,0,0,0,498.3,51.5,70.6,376.2,0
PANIPAT,1908,40.6,13.7,0,13.7,32.6,,176.4,486.7,0,0,0,0,,54.3,46.3,,0
PANIPAT,1909,9.7,11.9,0,117.3,7.6,179.7,130.1,150.4,128.8,15.5,0,35.4,786.4,21.6,124.9,589,50.9
PANIPAT,1910,23.4,3.8,0,0,0,19.5,120.6,168.4,259.1,50.8,0,0,645.6,27.2,0,567.6,50.8
PANIPAT,1911,84.4,0,27.4,0,0,81.7,50.6,14,331.2,22.9,74.4,0,686.6,84.4,27.4,477.5,97.3
PANIPAT,1912,39.1,4.3,8.4,2.5,3.6,8.4,232.1,187.9,197.7,0,16.5,0,700.5,43.4,14.5,626.1,16.5
PANIPAT,1913,0,32,7.8,2.8,71.7,90.2,69.3,76.7,14,,0,5,,32,82.3,250.2,
PANIPAT,1914,0,7.8,8.6,10.2,14,44.2,434.1,66.4,261.7,7.6,0,0,854.6,7.8,32.8,806.4,7.6
PANIPAT,1915,54.1,61,55.6,7.4,22.4,30.3,37,46.8,140.7,3.3,0,1,459.6,115.1,85.4,254.8,4.3
PANIPAT,1916,0,16.2,0,0,36.8,67.6,153.1,175.3,239.8,14.7,0,0,703.5,16.2,36.8,635.8,14.7
PANIPAT,1917,8.9,8.1,,37.3,37.1,73.9,174.8,280,146.6,64.5,0,10.9,,17,,675.3,75.4
PANIPAT,1918,18.5,0,13.4,7.9,0,59.9,32.3,139.9,0,0,0,0,271.9,18.5,21.3,232.1,0
PANIPAT,1919,85.7,,11.4,0,12.4,0,210.7,346.3,34.8,0,0,12.9,,,23.8,591.8,12.9
PANIPAT,1920,21.6,17.5,13.2,0,8.9,111.5,297.5,44.6,0,0,0,0,514.8,39.1,22.1,453.6,0
PANIPAT,1921,23.1,0,0,0,0,4.3,87.2,257.7,144.9,30.5,0,0,547.7,23.1,0,494.1,30.5
PANIPAT,1922,33.2,4.3,0,0,4.6,66.7,173.3,189.4,145.8,0,0,46.3,663.6,37.5,4.6,575.2,46.3
PANIPAT,1923,7.6,57.4,0,0,12,0,221.5,317.8,2.8,11.4,0,45.2,675.7,65,12,542.1,56.6
