DISTRICT YEAR,,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,,ANNUAL,JF,MAM,JJAS,OND
REWARI,1901,51.6,22.7,11,0,9.4,14.7,75.6,158.3,9.8,0,0,2.7,355.8,74.3,20.4,258.4,2.7
REWARI,1902,0,0,0,4.8,13.8,58,148.4,49,80.6,10.7,0,0,365.3,0,18.5,336,10.7
REWARI,1903,1.6,0,5.7,0,17.5,25.3,78.4,59.4,93.7,13.9,0,0,295.7,1.6,23.3,256.9,13.9
REWARI,1904,1.3,0,20,0.6,12.1,56.1,75.7,255.1,115.4,0,22.4,11.9,570.8,1.3,32.8,502.3,34.3
REWARI,1905,17.4,6.5,4.8,0,3.8,18.7,30.1,18.6,72.7,0,0,0,172.6,23.9,8.6,140.1,0
REWARI,1906,0,43.7,23.6,0,0,53.5,153.6,34.2,163.3,0,0,3.2,475.1,43.7,23.6,404.5,3.2
REWARI,1907,22.7,27,20.8,20.2,35,5.8,94.9,220.8,0,0,0,0,447.3,49.7,76.1,321.4,0
REWARI,1908,17.6,8.5,0,1.8,6.4,34.4,279.8,400,12.7,7.9,4.9,0,774,26.1,8.2,726.9,12.8
REWARI,1909,5.3,3.6,0,37.4,1.2,49.5,245.9,44.2,183.6,0.8,0,23.5,594.9,8.9,38.6,523.2,24.2
REWARI,1910,17.4,4.1,0,0.3,3.4,49.5,95.2,176.7,124.1,104.3,0,0,575,21.5,3.7,445.5,104.3
REWARI,1911,44.9,0,49.4,0,0,73.9,12.7,66.8,368.1,26.2,33.7,0,675.7,44.9,49.4,521.5,59.9
REWARI,1912,53.2,34.8,8,2.3,1.1,7.8,162.9,105.7,118.8,0,0.9,0,495.5,88,11.4,395.2,0.9
REWARI,1913,0.4,33.9,1.8,0,163.1,59.1,81.6,52,15.7,0,1.2,6.3,415.2,34.3,164.9,208.4,7.5
REWARI,1914,0,2.7,0,1.5,17.3,41.9,197.4,111.3,86.7,17,1.2,0,477,2.7,18.8,437.3,18.2
REWARI,1915,13.1,69.5,54.4,7.4,2.3,52.9,40.2,72.3,46.8,11.7,0,0,370.6,82.6,64.1,212.2,11.7
