DISTRICT,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,JF,MAM,JJAS,OND
ROHTAK,1901,38.4,27.1,22.5,0,0,12.4,76.2,108.9,28.6,0,0,10.6,324.9,65.6,22.5,226.3,10.6
ROHTAK,1902,0,0,0,0.8,15.9,99.9,91.1,68.9,40.9,0,0,0,317.5,0,16.6,300.9,0
ROHTAK,1903,3.3,0,0,0,4.2,5.8,148.3,109.8,54.3,6.3,0,0,332.1,3.3,4.2,318.3,6.3
ROHTAK,1904,11.4,0,54.9,0,31.3,13.8,82.1,173.9,116.8,0,7,26.3,517.5,11.4,86.2,386.5,33.3
ROHTAK,1905,56.6,10.1,15.8,1.3,22,8.8,86,10.3,27.4,0,0,2.5,240.8,66.8,39.1,132.4,2.5
ROHTAK,1906,7.3,52.2,18.5,0,0,20,170.4,122.5,200.6,0,0,0,591.5,59.5,18.5,513.4,0
ROHTAK,1907,7.6,28.9,27,54.7,3.8,8.1,82.6,137.8,0,0,0,0,350.5,36.5,85.5,228.5,0
ROHTAK,1908,22.1,3.9,0,1.3,14.6,1,225.5,427,11,0,0,0,706.5,26,15.8,664.6,0
ROHTAK,1909,2.7,3.8,0,105,3.9,155.6,146.8,146.7,260.3,6.7,0,31.3,862.6,6.4,108.9,709.3,38
ROHTAK,1910,24.4,4.2,0.2,3.7,0,24.3,123.6,167.4,174.4,71.4,0,0,593.5,28.6,3.9,489.7,71.4
ROHTAK,1911,66.8,0,69.1,0,0,35.5,39.6,14.5,290,1.6,44.3,0,561.5,66.8,69.1,379.7,45.9
ROHTAK,1912,55.4,8.4,9.8,2.8,1.4,38,65.6,187.1,117.9,0,3.2,1.5,491.1,63.8,14,408.6,4.7
ROHTAK,1913,1.5,45.8,15.9,2.2,57.3,119.6,156.1,108.4,13.6,1.8,1.3,5,528.4,47.3,75.3,397.7,8.1
ROHTAK,1914,0,9.4,6.8,6,24.1,17,331.8,94.7,204.1,23,0.3,0,717.1,9.4,36.8,647.6,23.3
ROHTAK,1915,44.3,44.2,49.4,4.6,9.1,31.1,87,61.1,106.3,0.6,0,0.8,438.6,88.6,63.1,285.5,1.4
ROHTAK,1916,0,17.3,0,1.5,3.7,17.8,117.6,225.1,91.9,92.7,0,0,567.6,17.3,5.2,452.4,92.7
ROHTAK,1917,2.9,10.3,2.9,27.9,51.5,62,191.3,203.9,268.4,72.1,0,6.1,899.2,13.2,82.3,725.5,78.2
ROHTAK,1918,23.6,0,17.4,3.1,7.6,48.5,25.1,145.6,0.4,0,0,0,271.4,23.6,28,219.7,0
ROHTAK,1919,97.7,3.6,5.8,7.8,34.8,0,181.9,271.5,4.7,0,0.9,19.1,627.6,101.3,48.3,458.1,20
ROHTAK,1920,14.4,31.2,13.9,1.3,28.2,105.6,199.4,10.6,5.1,0,0,0,409.4,45.5,43.4,320.6,0
ROHTAK,1921,16.9,0,0,1.5,0,25,125.6,234.3,73.7,53.5,0,0,530.3,16.9,1.5,458.5,53.5
ROHTAK,1922,17.1,9.6,0,1.1,0,87.6,133.8,130.6,275.1,1.5,0,38.9,695.5,26.8,1.1,627,40.5
ROHTAK,1923,16.8,68.3,4.1,0,9.1,14.1,149.1,223.9,4.7,4.3,3,31.2,528.7,85.1,13.3,391.8,38.5
ROHTAK,1924,66.3,23.6,2.7,0,11.1,36.5,74.8,219.6,248.6,81.4,0,15.8,780.3,90,13.7,579.4,97.2
ROHTAK,1925,5.3,0,0,0,6.6,164.2,259.2,118.7,5.3,2.3,19,2.3,583,5.3,6.6,547.4,23.6
ROHTAK,1926,10.4,6,32.3,9.1,57.1,15.9,172.6,207.6,27.5,2.7,0.5,0,541.5,16.4,98.4,423.6,3.2
ROHTAK,1927,0.9,37.8,19.1,5.1,11.3,28,166.9,255.9,39.8,0.8,0,47.3,613,38.7,35.6,490.6,48.1
ROHTAK,1928,9.2,23.1,3.9,14.3,16.1,33,200.6,114.7,44.6,1,29.8,15.9,506.1,32.3,34.3,392.8,46.8
ROHTAK,1929,15.4,0,0,12.7,7.5,14,94.1,99.9,11.4,0,0,25.8,280.6,15.4,20.2,219.4,25.8
ROHTAK,1930,38.3,6.9,0,1.9,0,88,247.5,35,64.2,7.6,2.5,0,492,45.3,1.9,434.6,10.1
ROHTAK,1931,0,2.4,20,0,11.7,5.3,274.2,139.8,70.1,4.8,0,0.3,528.5,2.4,31.7,489.4,5.1
ROHTAK,1932,0,0,35.5,10.6,12.1,25.3,123,104.5,147,0,0,22.6,480.6,0,58.3,399.8,22.6
ROHTAK,1933,0,8.3,8.9,7.5,62,100.6,142.4,216.6,476.4,38.5,0,5.5,1066.6,8.3,78.4,936,43.9
ROHTAK,1934,27.7,2.8,19.3,0,0.9,71.4,173.9,125.1,7.3,0,0,7.5,436,30.5,20.2,377.9,7.5
ROHTAK,1935,21.4,39.7,9.4,35.8,2,2.9,133,142.5,91.6,16.5,11.3,28.8,535,61,47.3,370,56.7
ROHTAK,1936,2.2,14.6,15.3,0,0,156,114.3,132,42.8,0,0,28.3,505.6,16.8,15.3,445.1,28.3
ROHTAK,1937,0,84.9,0,13.3,11.5,89.2,140.9,47.8,104.3,0,0,1.3,493.2,84.9,24.9,382.1,1.3
ROHTAK,1938,29.1,6.5,0,0.4,14.6,87.8,62.4,22.4,4.4,4.1,0,0,231.6,35.6,15,176.9,4.1
ROHTAK,1939,0,33,18.6,0,0,76.2,45.7,30.5,50,0,0,0,254.1,33,18.6,202.4,0
ROHTAK,1940,24,56.9,26.1,8.3,0,44.5,50.4,159.9,18.8,0,0,0,388.7,80.9,34.4,273.5,0
ROHTAK,1941,56.7,11.9,2.5,0,32.1,82.6,18.8,73.7,64.9,0,0,5.3,348.5,68.6,34.6,240,5.3
ROHTAK,1942,31.5,85.1,0,2.7,4.3,27.6,223.1,226.7,171.5,0,0,11.4,784,116.6,7,649,11.4
ROHTAK,1943,18.5,0,0,7.5,16.3,46.3,130.5,126.3,120.9,0,0,0,466.3,18.5,23.8,424,0
ROHTAK,1944,27.5,18,28.1,59.7,0,83.8,91.3,69.1,54.8,51.7,0,0,483.8,45.4,87.8,298.9,51.7
ROHTAK,1945,37.5,0,0,11.7,6.1,40.7,156.4,157.9,281.5,12.4,0,0,704.1,37.5,17.8,636.4,12.4
ROHTAK,1946,0,9.1,0,0,11.4,47.7,136.3,165.9,1.8,27.4,0,19.2,418.7,9.1,11.4,351.6,46.7
ROHTAK,1947,18.6,18,13.3,0,4.1,11.1,,32.1,296,14.9,0,1,,36.6,17.4,,15.9
ROHTAK,1948,31.9,31.3,27.8,4.4,3.8,14.3,256.9,171,19.5,0,0,0,560.9,63.2,36.1,461.6,0
ROHTAK,1949,2.2,10.8,1,8.6,9.6,17.8,472.3,6.1,167.4,0,0,5.1,700.9,13,19.2,663.6,5.1
ROHTAK,1950,17.3,4.1,9.6,0,0,4.4,216.9,83.2,143.3,0,0,0,478.8,21.3,9.6,447.9,0
ROHTAK,1951,10.4,0,14,13.4,0.6,33.9,22.5,135.4,52.8,0,23.2,0,306.2,10.4,28.1,244.5,23.2
ROHTAK,1952,9.1,24.8,17,5.4,28,64.8,160.3,359.9,0,0,0,0.4,669.8,33.9,50.5,584.9,0.4
ROHTAK,1953,44.5,0,0,0,6.7,40.6,363.3,115.3,22.3,0,0,10.2,602.9,44.5,6.7,541.5,10.2
ROHTAK,1954,38.3,99.7,24.3,1.1,9.4,3.7,174.7,29.1,110.5,59.2,0,0,550,138,34.9,318,59.2
ROHTAK,1955,35.5,3.2,2.9,19.4,0,38.8,78.9,166.5,154.4,88.7,0,0.6,588.8,38.7,22.3,438.6,89.3
ROHTAK,1956,18.1,7.8,29.8,2.3,0.9,35.1,306.4,97.8,20,95.8,13.4,0,627.4,26,32.9,459.3,109.3
ROHTAK,1957,48.5,0,42.7,0,1.5,38.2,230.1,77.3,147.2,54,12.2,17.6,669.2,48.5,44.2,492.8,83.8
ROHTAK,1958,3.5,0,6.9,0,12.7,19.4,167.4,96.9,327.5,15.9,0,25.3,675.6,3.5,19.6,611.2,41.2
ROHTAK,1959,67.6,5.2,7.6,0,3.8,18.8,85.1,167.6,65,12.1,28,0,460.6,72.7,11.4,336.4,40.1
ROHTAK,1960,11.1,0,44.9,22.1,0,42,317.5,389.3,22.5,56.1,0,0,905.5,11.1,67.1,771.3,56.1
ROHTAK,1961,43.7,18,0,0,26.4,50.5,143,388.1,39.6,30.6,3.9,14.1,758,61.7,26.4,621.2,48.6
ROHTAK,1962,13.1,22.7,11.8,0,4.1,14.7,117.8,155.6,146.1,0,4.8,0,490.6,35.8,15.9,434.1,4.8
ROHTAK,1963,0,3,0,4.8,0,67.3,28.5,328.8,88.6,0,22,10.3,553.3,3,4.8,513.3,32.3
ROHTAK,1964,6.7,0,0.2,0,7.3,9.2,441,171.3,90.2,0,0.2,12.2,738.3,6.7,7.5,711.8,12.4
ROHTAK,1965,6.8,5,1.5,8.9,27.4,3.2,180.4,235,58.3,57.6,0,0,584,11.8,37.8,476.9,57.6
ROHTAK,1966,,,,,,,,,,,,,,,,,
ROHTAK,1967,,,,4.4,0.8,33.4,179.3,180.9,113.9,2,9.6,102.3,,,,507.5,113.9
ROHTAK,1968,8.1,41,21.1,0,8.5,29.3,347.7,143.8,0,17.2,0,0,616.7,49.1,29.6,520.8,17.2
ROHTAK,1969,2.2,3.1,10.4,8,31.7,18.8,254.7,189.7,229.9,2.1,0,0,750.4,5.3,50,693,2.1
ROHTAK,1970,38.6,39.8,29.5,0,24.3,77.3,37.7,166.7,121.2,0.1,0,0,535.1,78.3,53.8,402.9,0.1
ROHTAK,1971,,4.3,4,5,65.4,84.6,138.2,231.9,29.2,27.4,0,0,,,74.4,483.9,27.4
ROHTAK,1972,9.7,18.3,20.9,7.2,0,34.9,167.3,165.8,18.1,0.2,39.5,5.1,487.1,28,28.1,386.1,44.8
ROHTAK,1973,32.6,1.6,1.4,0.1,25,12.7,76,153.9,66.5,3.4,0,5.4,378.6,34.2,26.5,309.1,8.8
ROHTAK,1974,0,0.1,1.5,0.4,0.4,45.6,141.8,93.1,7.3,24.3,0,12.6,326.9,0.1,2.2,287.7,36.8
ROHTAK,1975,25.1,3.2,15.2,1.3,10.8,22.8,183.1,226,187.6,4.9,0,0,680,28.3,27.2,619.6,4.9
ROHTAK,1976,2,20.7,7.8,12.9,26.9,38,193.4,342.3,28.9,0,0,1.3,674.3,22.7,47.6,602.7,1.3
ROHTAK,1977,25.1,3.8,0.5,14.3,25.1,42.8,351.5,174.9,81.4,0,0,5,724.4,28.9,39.9,650.6,5
ROHTAK,1978,0,26.4,43.5,0.4,9.8,95.4,238,131.4,115.1,0,2.2,0.1,662.3,26.4,53.7,579.9,2.3
ROHTAK,1979,52.8,69.4,12,2,44.7,68.4,113,34.5,29.6,0.3,0,10.9,437.5,122.2,58.7,245.4,11.2
ROHTAK,1980,6.8,2.9,39.7,0.1,4.9,17.8,400.2,136.9,80.8,12.2,3.6,13.9,719.9,9.7,44.7,635.7,29.7
ROHTAK,1981,32.8,25.8,38.7,0,62.6,194.1,238,109.4,27.2,0,61.4,1.7,791.7,58.6,101.3,568.7,63.1
ROHTAK,1982,35.6,13,138.8,27.4,59.3,60.1,136.3,176.2,7.6,21.4,2.3,13.7,691.7,48.6,225.4,380.2,37.4
ROHTAK,1983,49.2,5.5,5.9,70.5,31.7,32.1,381.3,438.8,61.4,1.7,0,6.7,1084.9,54.7,108.2,913.6,8.4
ROHTAK,1984,2.1,4.9,1.8,18.5,0,20,217.5,214.8,106.2,0,0,0,586,7,20.3,558.6,0
ROHTAK,1985,0,0,1.5,8.9,19.5,38.2,277.1,126.8,44.4,37.5,0,47.9,601.8,0,29.9,486.5,85.4
ROHTAK,1986,5,27.3,13.4,5.4,43.5,40.4,58.5,66.1,53.4,0,0,0,313,32.3,62.3,218.4,0
ROHTAK,1987,13.5,,6.7,5.2,27,13.6,5.2,60.3,0,0,0,8,,,38.8,79.1,8
ROHTAK,1988,4,7.4,45.5,9.8,0,130,305.7,209,134,0,0,7,852.5,11.4,55.3,778.7,7
ROHTAK,1989,23,0,4.8,0,0.1,28,44,158.6,1.1,0,11,23.5,294.2,23,4.9,231.8,34.5
ROHTAK,1990,0,85,3.8,7.3,36.4,23.8,143.9,70.2,191.3,0,14.3,19.3,595.4,85,47.5,429.3,33.6
ROHTAK,1991,0.1,23,0.1,12.8,13,39.6,90.7,244.3,5.3,0,4.5,13,446.2,23,25.9,379.8,17.5
ROHTAK,1992,25,10.6,2.2,0,5.3,9,79.7,121.6,27.2,0,11.6,0,292.1,35.6,7.4,237.5,11.6
ROHTAK,1993,3.5,14.7,4.7,11.4,7.8,35.3,250.4,27.3,107.4,0,0,0,462.4,18.2,23.8,420.4,0
ROHTAK,1994,28,7,0,10.6,12,51.8,297.5,237,17.9,0,0,0,661.7,35,22.6,604.2,0
ROHTAK,1995,41.3,19.2,7.3,3,0,33.8,90.6,481.4,168.8,0.5,0.2,3.9,850,60.4,10.3,774.7,4.6
ROHTAK,1996,12,17.6,4.7,0.3,20.4,66.8,146.9,265.3,83.4,31.1,0,0,648.6,29.6,25.4,562.5,31.1
ROHTAK,1997,11.3,1.5,18.3,74.7,57,62.8,94.3,228.4,16.7,41.5,24.2,47.1,677.8,12.8,149.9,402.2,112.8
ROHTAK,1998,0,32.4,35.5,1.4,8,52.8,75.8,100.3,120.4,69.8,0,0,496.5,32.4,45,349.3,69.8
ROHTAK,1999,19.3,0.4,0,0,15.3,25.9,38.7,61.6,34.6,0.6,0,0.8,197.1,19.7,15.3,160.7,1.5
ROHTAK,2000,29.4,43.7,0.8,2.5,41.7,44.5,106.2,169.9,12.1,0,0,0,450.7,73.1,45,332.6,0
ROHTAK,2001,18.2,5.1,9.1,15.5,87.3,162.8,161.7,122.4,10.6,20,0,0,612.7,23.2,111.8,457.5,20
ROHTAK,2002,8.7,43.3,3.8,4.2,55.8,16.5,6.8,92.5,156.9,0.2,0,17.6,406.3,52,63.8,272.8,17.8
ROHTAK,2003,10.1,28.6,2.3,0,12.6,7.7,328,121.5,96.9,0,0,5.9,613.5,38.7,14.9,554,5.9
ROHTAK,2004,14.9,0,0,25.9,37.9,49.3,0,303,0,73.8,0,0,504.8,14.9,63.8,352.3,73.8
ROHTAK,2005,7.3,28.4,32.4,6.2,6.7,37.4,254.4,86.7,219.9,0,3.8,0,683.3,35.7,45.4,598.5,3.8
ROHTAK,2006,1.6,0,30.3,0.4,15.7,97.8,142,50.6,143.1,0.5,0,2,484,1.6,46.4,433.5,2.6
ROHTAK,2007,0.5,47.1,37,4.9,17.6,84.8,84.5,94.1,44,0,0,12,426.6,47.5,59.6,307.5,12
ROHTAK,2008,0,0.6,0.1,29.4,117.3,142.9,122.2,140.5,89.1,0,10.8,0,652.8,0.6,146.8,494.7,10.8
ROHTAK,2009,0.8,0,8.5,33.9,8.6,11.9,98.2,19.3,213.7,0,0,0,395,0.8,51,343.2,0
ROHTAK,2010,6.8,7.3,0,0.1,7.6,9.1,196.2,247.1,189.8,1.3,2,2.3,669.3,14.1,7.6,642.1,5.5
