DISTRICT,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,JF,MAM,JJAS,OND
SIRSA,1901,9.7,12,8.4,0,4.1,0,59.5,35,0,0,0,5.1,133.8,21.7,12.5,94.5,5.1
SIRSA,1902,0,0,0,1,29.2,35.8,16.3,51.8,2.3,10,0,0,146.4,0,30.2,106.2,10
SIRSA,1903,5.4,1,0,0,4.8,8.6,202.4,56.3,21.1,0,0,0,299.6,6.4,4.8,288.4,0
SIRSA,1904,3,0,36.5,0,3.6,40.2,17.6,30.3,84.1,5.1,0,1.3,221.7,3,40.1,172.2,6.4
SIRSA,1905,44.2,6.8,11.4,0,4.3,0,59.1,0,122.5,0,0,11.9,260.2,51,15.7,181.6,11.9
SIRSA,1906,0,54.9,36.3,0,0,30,42.2,20.3,141.7,0,0,12.7,338.1,54.9,36.3,234.2,12.7
SIRSA,1907,3.6,14.7,8.7,6.9,6.1,36.6,60.1,229.3,0,0,0,0,366,18.3,21.7,326,0
SIRSA,1908,14.2,0,0,2,15.8,38.7,246.2,183.4,3,0,0,0,503.3,14.2,17.8,471.3,0
SIRSA,1909,3.8,7.1,0,65.5,0,34,145.3,135.4,153.3,0,0,36.3,580.7,10.9,65.5,468,36.3
SIRSA,1910,4.1,0,0,0,0,61.1,41.2,61.9,70.1,11.2,0,0,249.6,4.1,0,234.3,11.2
SIRSA,1911,49.6,1.5,67.5,0,0.5,45.2,6.9,6.9,0,6.6,3.8,0,188.5,51.1,68,59,10.4
SIRSA,1912,47.4,11.4,7.9,6.3,3,0,150.6,66.4,32.2,0,16.5,0,341.7,58.8,17.2,249.2,16.5
SIRSA,1913,1.5,18.3,7.6,6.1,13.2,166.7,185.1,57.4,54.3,0,0,19.3,529.5,19.8,26.9,463.5,19.3
SIRSA,1914,16.8,4.6,2.3,35.8,0,47,139,15.4,127.2,11.7,10.2,2.3,412.3,21.4,38.1,328.6,24.2
SIRSA,1915,19.3,46.3,12.4,0,0,7.9,3.3,38.6,23.1,1.5,0,2,154.4,65.6,12.4,72.9,3.5
SIRSA,1916,2.3,,0,3.3,8.3,94.3,111.4,135.4,17.8,29.2,0,0,,,11.6,358.9,29.2
SIRSA,1917,2.3,2.5,0,35.2,25.7,66.8,88.5,187.9,549.9,94.7,0,11.7,1065.2,4.8,60.9,893.1,106.4
SIRSA,1918,5.1,0,8.9,11.7,0,0,25.9,107.7,5.3,0,0,0,164.6,5.1,20.6,138.9,0
SIRSA,1919,35.5,0,0,8.6,20.1,0,107,56.7,91.7,0,13.2,61.5,394.3,35.5,28.7,255.4,74.7
SIRSA,1920,14.5,0,0,0,31,3.1,45.7,0,15.5,0,0,0,109.8,14.5,31,64.3,0
SIRSA,1921,0,0,0,0,0,0,91.8,53.9,57.1,21.6,0,10.4,234.8,0,0,202.8,32
SIRSA,1922,3,0,0,0,6.1,21.9,123.7,11.7,148.4,0,0,8.4,323.2,3,6.1,305.7,8.4
SIRSA,1923,19.8,20.6,0,0,43.4,58.9,216.4,146.3,0,0,0,32.8,538.2,40.4,43.4,421.6,32.8
SIRSA,1924,26.9,14,1.8,11.9,7.1,5.1,44.2,57.1,36.5,0,0,9.7,214.3,40.9,20.8,142.9,9.7
SIRSA,1925,0,0,0,0,10.6,164,97.2,41.4,6.6,11.9,0,0,331.7,0,10.6,309.2,11.9
SIRSA,1926,8.1,16,22.8,0,14.5,8.6,64.5,325.4,0,0,0,0,459.9,24.1,37.3,398.5,0
SIRSA,1927,0,19.5,0,8.9,3.8,5.1,88.5,5.1,46.5,0,9.7,29.3,216.4,19.5,12.7,145.2,39
SIRSA,1928,0,0,0,10.2,0,44.8,53.1,64.5,15.2,4.6,6.5,10.9,209.8,0,10.2,177.6,22
SIRSA,1929,12.2,0,0,5.4,2.5,9.7,134.2,65.6,15.7,0,0,23.1,268.4,12.2,7.9,225.2,23.1
SIRSA,1930,0,0,8.1,2.3,1.5,44.9,184.1,98,11.7,0,0,0,350.6,0,11.9,338.7,0
SIRSA,1931,0,0,5.1,0,0,11,145,55.9,100.6,44.6,0,0,362.2,0,5.1,312.5,44.6
SIRSA,1932,15.5,0,0,3,4.3,5.1,80,133.8,0,0,0,0,241.7,15.5,7.3,218.9,0
SIRSA,1933,0,14.7,8.4,1.8,24.6,45.2,135.3,145.6,153.4,0,0,0,529,14.7,34.8,479.5,0
SIRSA,1934,4.3,0,94.2,3.8,1.8,61.2,127.8,175.3,16.3,0,0,0,484.7,4.3,99.8,380.6,0
SIRSA,1935,44.4,26.2,2.5,35,0,8.4,189.3,82.6,16,3,7.6,0,415,70.6,37.5,296.3,10.6
SIRSA,1936,0,8.6,2,0,0,45,47,80.3,29.5,0,0,37.6,250,8.6,2,201.8,37.6
SIRSA,1937,0,86.6,10.1,8.4,0,22.4,128.8,5.1,18,0,0,7.9,287.3,86.6,18.5,174.3,7.9
SIRSA,1938,32.5,20.3,1,0,0,62.8,6.4,43.2,0,1.5,0,0,167.7,52.8,1,112.4,1.5
SIRSA,1939,0,25.9,37.6,0,0,58.2,14.2,3.8,8.4,0,0,0,148.1,25.9,37.6,84.6,0
SIRSA,1940,25.2,5.8,0,0,0,69.9,38.4,71.9,7.9,0,0,0,219.1,31,0,188.1,0
SIRSA,1941,52.3,0,0,0,3.8,66.8,42.1,72.1,20.1,2.8,0,8.1,268.1,52.3,3.8,201.1,10.9
SIRSA,1942,2.5,3.8,4.6,0,0,11.5,70.1,168.7,70,0,0,1.5,332.7,6.3,4.6,320.3,1.5
SIRSA,1943,12.7,14.7,,0,0,8.4,37.1,0,0,0,0,0,,27.4,,45.5,0
SIRSA,1944,3,35.4,31,3.8,2,29.1,93.7,87.1,0,0,0,0,285.1,38.4,36.8,209.9,0
SIRSA,1945,25.4,0,10.7,2.8,3.5,17.8,75.2,141,358.1,0,0,0,634.5,25.4,17,592.1,0
SIRSA,1946,0,0,0,0,57.2,27.2,0,90.1,0,9.1,0,9.2,192.8,0,57.2,117.3,18.3
SIRSA,1947,0,20,0,0,0,0,,64.6,249.8,0,0,6.4,,20,0,,6.4
SIRSA,1948,48.8,5.8,5.1,0,2.3,27,134.8,100.5,0,4.6,4.6,1.5,335,54.6,7.4,262.3,10.7
SIRSA,1949,7.4,18.9,0,0,0,14.9,52.6,,42.2,,0,10.4,,26.3,0,,
