DISTRICT,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,JF,MAM,JJAS,OND
SONEPAT,1901,17.5,11.7,3.3,0,8.1,20.3,79.5,157.2,5.8,0,0,12.2,315.6,29.2,11.4,262.8,12.2
SONEPAT,1902,0,0,,3.3,14.8,111.6,292.5,144.5,113.1,,0,0,,0,,661.7,
SONEPAT,1903,4.6,0,0,0,1.3,0,104,211.3,66.4,10.9,0,0,398.5,4.6,1.3,381.7,10.9
SONEPAT,1904,6.9,0.8,61,0,23.9,23.4,79.7,161.6,107.5,0,10.4,23.1,498.3,7.7,84.9,372.2,33.5
SONEPAT,1905,52.5,17.5,11.4,0,4.1,3.3,167.4,0,25.4,0,0,3.6,285.2,70,15.5,196.1,3.6
SONEPAT,1906,7.1,47.8,23.1,0,0,89.3,114.7,125.7,295.5,0,0,0.8,704,54.9,23.1,625.2,0.8
SONEPAT,1907,20.8,19.9,22.7,47,0,2.3,34.6,340.9,0,0,0,0,488.2,40.7,69.7,377.8,0
SONEPAT,1908,45,1.5,0,0,15.5,0,359.2,387.1,9.6,0,1,0,818.9,46.5,15.5,755.9,1
SONEPAT,1909,11.2,6.1,0,87.4,9.4,162.9,236.1,173.7,190.4,4.1,0,34.6,915.9,17.3,96.8,763.1,38.7
SONEPAT,1910,13.2,1.5,0,2,0,26.9,85.3,191.6,190.5,160.8,0,0,671.8,14.7,2,494.3,160.8
SONEPAT,1911,106.2,0,33.7,0,0,96.5,36.8,12.7,326.3,56.1,29.5,0,697.8,106.2,33.7,472.3,85.6
SONEPAT,1912,40.9,5.3,6.9,5.6,0.5,25.4,113.2,211.4,225.3,0,0,1,635.5,46.2,13,575.3,1
SONEPAT,1913,1.3,29.8,33.8,2.8,83.4,107.8,61.4,92.5,0,0.5,3,8.7,425,31.1,120,261.7,12.2
SONEPAT,1914,0,4.3,11.4,11,12.7,7.2,385.4,54.4,254.5,28.7,0,0,769.6,4.3,35.1,701.5,28.7
SONEPAT,1915,39.4,53.6,71.6,4.1,9.6,73.8,134.4,13.9,178.2,0,0,3,581.6,93,85.3,400.3,3
SONEPAT,1916,0,16.7,0,2.3,10.7,34,178.6,132.5,110.9,29.7,0,0,515.4,16.7,13,456,29.7
SONEPAT,1917,0,13.5,3.1,13,16.8,41.5,198.5,235.5,170.3,29.5,0,16.8,738.5,13.5,32.9,645.8,46.3
