DISTRICT,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,JF,MAM,JJAS,OND
YAMUNANAGAR,1901,82.9,86.1,24.3,0,10.3,19.4,367,462.4,11.7,24.8,0,12.1,1100.9,169,34.6,860.5,36.8
YAMUNANAGAR,1902,0,1,5.8,39.4,19,157.3,352.4,114.3,158.4,42.3,0,0,890,1,64.3,782.4,42.3
YAMUNANAGAR,1903,31.6,1.3,3.2,1.1,3.8,13.3,328,231.1,265.8,0,0,16.9,896,32.8,8.1,838.2,16.9
YAMUNANAGAR,1904,20.4,0,65.4,0,39.9,66.6,450.3,260.3,45,2.9,16.3,47.9,1014.9,20.4,105.3,822.1,67.1
YAMUNANAGAR,1905,71,52.4,23.7,0,8.6,78.7,129.4,120.4,97.9,0,0,9,591.1,123.4,32.3,426.4,9
YAMUNANAGAR,1906,7.4,97.1,22.7,0,3.3,276.5,358.3,285.2,255,0,0,4.9,1310.4,104.5,26,1174.9,4.9
YAMUNANAGAR,1907,26.5,92.9,44.3,26.6,11.8,10.2,165.4,285.6,0,0,0,0,663.5,119.5,82.8,461.2,0
YAMUNANAGAR,1908,49.6,27.5,0,28.1,11.5,4.1,239.6,700.8,7.4,0,3.5,3.8,1075.9,77.1,39.6,951.8,7.3
YAMUNANAGAR,1909,11.9,16.4,0,41.7,0,175.9,508.8,243,89.8,0,0,41.9,1129.3,28.3,41.7,1017.5,41.9
YAMUNANAGAR,1910,18.4,21.1,0,6.5,24.3,83.4,264.6,352.1,309.3,119.7,0,0,1199.3,39.5,30.8,1009.4,119.7
YAMUNANAGAR,1911,142.8,5.8,75.4,0,0,92.8,46.3,201.1,138.8,2.5,88.9,0,794.3,148.5,75.4,479,91.4
YAMUNANAGAR,1912,47.3,5.1,28.7,15.3,3.4,37,287.5,120.1,246.1,0,8.3,2.7,801.5,52.3,47.5,690.8,10.9
YAMUNANAGAR,1913,0,51,66.2,3.2,80.4,206.8,176.9,160,0,6.3,0.8,11.4,762.7,51,149.7,543.6,18.5
YAMUNANAGAR,1914,0,27.5,11.8,48.8,36.2,139.5,506.7,164.3,354.3,36.2,2.2,2.2,1329.4,27.5,96.7,1164.8,40.5
YAMUNANAGAR,1915,66,71.8,40.3,15.4,40.2,62.5,143.7,143.8,216.1,0,0,12,811.8,137.9,95.8,566,12
YAMUNANAGAR,1916,2.4,14.4,0,0,26,272.1,249.8,356.3,190.4,75.4,0,0,1186.7,16.8,26,1068.5,75.4
YAMUNANAGAR,1917,18,10.4,6.3,21.3,15.4,92.3,362.5,314.4,365.7,240.3,0,13.9,1460.3,28.4,43,1134.8,254.2
YAMUNANAGAR,1918,7.9,0,15,12.7,14,103.9,50.9,239.4,12.2,0,0,0,455.8,7.9,41.7,406.3,0
YAMUNANAGAR,1919,119.4,10.4,22.5,0,6.3,99,442.8,115.8,80.4,0,8.6,21.9,927,129.8,28.7,738.1,30.5
YAMUNANAGAR,1920,14.5,20,12.4,0,13.1,251.4,360.8,66.9,36.8,19,0,0,795.1,34.5,25.5,715.9,19
YAMUNANAGAR,1921,87.8,15,8.4,5.1,0,16.1,128.6,509.9,109,36.4,0,0.6,917,102.8,13.5,763.7,37.1
YAMUNANAGAR,1922,58.1,7.6,1.5,0,0,81.5,228.4,256.2,188.4,2.7,0,26.1,850.5,65.7,1.5,754.5,28.8
YAMUNANAGAR,1923,24.1,78.4,0.6,0,13.9,6.8,290,352.2,92.6,105.4,0,74.4,1038.6,102.5,14.5,741.8,179.8
YAMUNANAGAR,1924,112,44,4.5,0,6.8,4.4,419.3,171,569.6,14.5,0,34.1,1380.1,156.1,11.3,1164.3,48.6
YAMUNANAGAR,1925,13.8,0,0,11.6,34.8,100.2,277.2,157.6,27.5,7.6,20.8,0,651.1,13.8,46.4,562.5,28.4
YAMUNANAGAR,1926,8.2,18.9,86.4,20.6,16.9,13.9,468.9,319.5,64.9,0,22.1,0,1040.5,27.1,123.9,867.3,22.1
YAMUNANAGAR,1927,1.8,116.1,5.3,6.7,37.1,11.6,246.5,339.5,29.5,83.2,6.9,18.5,902.9,117.9,49.1,627.3,108.6
YAMUNANAGAR,1928,72.2,99.1,5.9,11.6,14.9,62.1,175.5,76,48.2,0,43.5,21.1,630.1,171.3,32.5,361.8,64.7
YAMUNANAGAR,1929,31.9,0,0,10.1,3.5,50.3,193.4,121.5,58.3,37.2,0,83.4,589.7,31.9,13.7,423.5,120.6
YAMUNANAGAR,1930,110.9,45,9.4,4.1,6.8,230.5,421,223.3,45.6,5.4,0,5.8,1107.5,155.9,20.2,920.3,11.2
YAMUNANAGAR,1931,2.3,57.7,21.7,0,29,3.9,179.5,205.7,419.9,0.5,0,0,920.1,60,50.7,809,0.5
YAMUNANAGAR,1932,0.6,4.3,34,16.4,7.6,27.3,284,288.5,565.1,0,0,48.5,1276.5,5,58,1164.9,48.5
